DATACODE,RECTYPE,RECYEAR,RECMONTH,RECDAY,WATERSHED,SOILTYPE,REPSITE,SPCODE,SPECIES,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,TOTAL,COMMENTS
CGR02,2,1984,8,12,000b,fl,a,15,melanoplus keeleri,,,1,,,1,,,2,1,5,
CGR02,2,1984,8,12,000b,fl,a,4,hypochlora alba,,,,,,,,,,3,3,
CGR02,2,1984,8,12,000b,fl,a,8,hesperotet species,,,,,1,,,1,1,4,7,
CGR02,2,1984,8,12,000b,fl,a,12,melanoplus femurrubr,,1,,,,,,,,1,2,
CGR02,2,1984,8,12,000b,fl,a,31,pseudopoma brachypte,,2,,,,1,,,,,3,
CGR02,2,1984,8,3,000b,fl,b,27,orphulella speciosa,,,,1,1,2,,2,1,,7,
CGR02,2,1984,8,3,000b,fl,b,9,phoetaliot nebrascen,4,4,5,7,16,16,4,23,9,2,90,
CGR02,2,1984,8,3,000b,fl,b,10,melanoplus scudderi,1,,,3,4,3,3,,2,1,17,
CGR02,2,1984,8,3,000b,fl,b,15,melanoplus keeleri,,,,1,,1,,,2,,4,
CGR02,2,1984,8,3,000b,fl,b,4,hypochlora alba,,1,,,,,,,1,,2,
CGR02,2,1984,8,3,000b,fl,b,29,mermiria bivittata,3,,,,,,,1,,,4,
CGR02,2,1984,8,3,000b,fl,b,16,melanoplus bivittatu,1,,,,,,,,,,1,
CGR02,2,1984,8,3,000b,fl,b,8,hesperotet species,2,1,,,2,1,,,,,6,
CGR02,2,1984,8,3,000b,fl,b,31,pseudopoma brachypte,,1,,,1,,,,,,2,
CGR02,2,1984,8,3,000b,fl,b,12,melanoplus femurrubr,,,,,,,1,,1,,2,
CGR02,2,1984,8,12,000b,fl,b,27,orphulella speciosa,1,1,,1,1,1,,,1,2,8,
CGR02,2,1984,8,12,000b,fl,b,9,phoetaliot nebrascen,5,22,5,11,4,11,7,10,10,2,87,
CGR02,2,1984,8,12,000b,fl,b,10,melanoplus scudderi,2,3,2,4,3,5,3,3,2,3,30,
CGR02,2,1984,8,12,000b,fl,b,15,melanoplus keeleri,,,,1,,3,,,3,2,9,
CGR02,2,1984,8,12,000b,fl,b,4,hypochlora alba,2,2,1,2,,,,,,,7,
CGR02,2,1984,8,12,000b,fl,b,31,pseudopoma brachypte,,,,,,1,1,,1,,3,
CGR02,2,1984,8,12,000b,fl,b,8,hesperotet species,,2,,,,,,,,3,5,
CGR02,2,1984,8,12,000b,fl,b,90,unknown,,,1,1,1,,1,,2,,6,
CGR02,2,1984,8,12,000b,fl,b,25,eritettix simplex,,,,1,,,,,,,1,
CGR02,2,1984,8,12,000b,fl,b,29,mermiria bivittata,1,,,,,,,,,,1,
CGR02,2,1984,8,12,000b,fl,b,3,paratylotr brunneri,1,,,,,,,,,,1,
CGR02,2,1984,8,12,000b,fl,b,16,melanoplus bivittatu,,,,,1,,,,,,1,
CGR02,2,1984,8,13,n01b,fl,a,27,orphulella speciosa,,1,,2,2,1,,,2,1,9,
CGR02,2,1984,8,13,n01b,fl,a,9,phoetaliot nebrascen,8,3,7,6,8,3,12,10,9,8,74,
CGR02,2,1984,8,13,n01b,fl,a,10,melanoplus scudderi,1,,,1,3,,,2,3,2,12,
CGR02,2,1984,8,13,n01b,fl,a,15,melanoplus keeleri,,,,,,,,,,1,1,
CGR02,2,1984,8,13,n01b,fl,a,4,hypochlora alba,2,,3,4,,1,,,,,10,
CGR02,2,1984,8,13,n01b,fl,a,8,hesperotet species,3,,1,3,,2,,4,2,2,17,
CGR02,2,1984,8,13,n01b,fl,a,29,mermiria bivittata,,,1,,,,,,,,1,
CGR02,2,1984,8,13,n01b,fl,a,12,melanoplus femurrubr,,,,1,,,,,,,1,
CGR02,2,1984,8,13,n01b,fl,b,27,orphulella speciosa,1,,2,1,,,,,,2,6,
CGR02,2,1984,8,13,n01b,fl,b,9,phoetaliot nebrascen,,1,3,5,,2,5,9,3,2,30,
CGR02,2,1984,8,13,n01b,fl,b,10,melanoplus scudderi,2,2,,1,1,,1,4,,,11,
CGR02,2,1984,8,13,n01b,fl,b,15,melanoplus keeleri,,,,2,,,,2,,,4,
CGR02,2,1984,8,13,n01b,fl,b,4,hypochlora alba,,,,1,,,,,,1,2,
CGR02,2,1984,8,13,n01b,fl,b,8,hesperotet species,,,,,2,,2,3,,,7,
CGR02,2,1984,8,13,n01b,fl,b,31,pseudopoma brachypte,,,,,,,,1,1,,2,
CGR02,2,1984,8,13,n01b,fl,b,1,brachystol magna,1,,,,,,,,,,1,
CGR02,2,1984,8,13,n01b,fl,b,12,melanoplus femurrubr,,,,,1,,,,,,1,
CGR02,2,1984,8,12,n04d,fl,a,27,orphulella speciosa,,1,1,1,1,1,3,2,3,,13,
CGR02,2,1984,8,12,n04d,fl,a,9,phoetaliot nebrascen,10,12,12,3,2,10,,17,10,9,85,
CGR02,2,1984,8,12,n04d,fl,a,10,melanoplus scudderi,4,1,3,1,2,,3,10,5,6,35,
CGR02,2,1984,8,12,n04d,fl,a,15,melanoplus keeleri,,,,,3,2,4,3,4,1,17,
CGR02,2,1984,8,12,n04d,fl,a,4,hypochlora alba,3,3,12,15,5,13,24,15,7,7,104,
CGR02,2,1984,8,12,n04d,fl,a,8,hesperotet species,,1,10,,1,8,7,3,7,1,38,
CGR02,2,1984,8,12,n04d,fl,a,16,melanoplus bivittatu,,,,,,1,,,,,1,
CGR02,2,1984,8,12,n04d,fl,a,31,pseudopoma brachypte,,,,,,1,,1,,,2,
CGR02,2,1984,8,12,n04d,fl,a,29,mermiria bivittata,,1,,,,,,,,,1,
CGR02,2,1984,8,12,n04d,fl,a,12,melanoplus femurrubr,,,,,1,,,,1,,2,
CGR02,2,1984,8,12,n04d,fl,b,27,orphulella speciosa,3,,,,1,2,,3,,1,10,
CGR02,2,1984,8,12,n04d,fl,b,9,phoetaliot nebrascen,9,9,15,11,5,11,4,10,11,31,116,
CGR02,2,1984,8,12,n04d,fl,b,10,melanoplus scudderi,,2,4,2,1,1,4,4,1,1,20,
CGR02,2,1984,8,12,n04d,fl,b,15,melanoplus keeleri,,,,1,,,1,,,,2,
CGR02,2,1984,8,12,n04d,fl,b,4,hypochlora alba,2,1,6,23,9,8,20,37,19,10,135,
CGR02,2,1984,8,12,n04d,fl,b,29,mermiria bivittata,1,,,,,,,,,,1,
CGR02,2,1984,8,12,n04d,fl,b,8,hesperotet species,,5,,6,7,7,9,5,,1,40,
CGR02,2,1984,8,12,n04d,fl,b,16,melanoplus bivittatu,,,,,,1,,,,,1,
CGR02,2,1984,8,12,n04d,fl,b,12,melanoplus femurrubr,,,,,,,,1,,,1,
CGR02,2,1984,8,13,n00b,fl,a,27,orphulella speciosa,1,2,,3,,,,,,,6,
CGR02,2,1984,8,13,n00b,fl,a,9,phoetaliot nebrascen,7,3,12,2,2,5,3,8,2,3,47,
CGR02,2,1984,8,13,n00b,fl,a,10,melanoplus scudderi,,2,,1,1,2,4,2,15,9,36,
CGR02,2,1984,8,13,n00b,fl,a,15,melanoplus keeleri,2,,5,,1,,6,5,5,9,33,
CGR02,2,1984,8,13,n00b,fl,a,4,hypochlora alba,6,6,4,6,,6,,,2,,30,
CGR02,2,1984,8,13,n00b,fl,a,8,hesperotet species,2,1,,,,3,1,6,4,5,22,
CGR02,2,1984,8,13,n00b,fl,a,12,melanoplus femurrubr,,,,,,,,2,3,4,9,
CGR02,2,1984,8,13,n00b,fl,b,27,orphulella speciosa,2,1,3,,,1,1,3,1,3,15,
CGR02,2,1984,8,13,n00b,fl,b,9,phoetaliot nebrascen,6,6,6,3,5,2,3,4,11,12,58,
CGR02,2,1984,8,13,n00b,fl,b,10,melanoplus scudderi,13,9,8,,3,1,6,1,1,7,49,
CGR02,2,1984,8,13,n00b,fl,b,15,melanoplus keeleri,1,,,,,1,1,2,,,5,
CGR02,2,1984,8,13,n00b,fl,b,4,hypochlora alba,,5,2,2,,1,,5,,,15,
CGR02,2,1984,8,13,n00b,fl,b,16,melanoplus bivittatu,1,,,,,,,,1,,2,
CGR02,2,1984,8,13,n00b,fl,b,31,pseudopoma brachypte,1,,,,,,,,1,,2,
CGR02,2,1984,8,13,n00b,fl,b,8,hesperotet species,1,1,,2,1,1,,,1,4,11,
CGR02,2,1984,8,13,n00b,fl,b,12,melanoplus femurrubr,4,1,2,1,,1,3,,,1,13,
CGR02,2,1984,8,13,n00b,fl,b,29,mermiria bivittata,,,,,,1,,,,,1,
CGR02,2,1984,8,13,001d,tu,a,27,orphulella speciosa,19,15,16,16,17,8,15,13,11,14,144,
CGR02,2,1984,8,13,001d,tu,a,9,phoetaliot nebrascen,,1,1,,2,,1,1,4,5,15,
CGR02,2,1984,8,13,001d,tu,a,26,syrbula admirabil,,,,,,,1,1,,,2,
CGR02,2,1984,8,13,001d,tu,a,12,melanoplus femurrubr,,,,,,,,2,,,2,
CGR02,2,1984,8,13,001d,tu,b,27,orphulella speciosa,5,8,7,6,9,12,6,5,9,8,75,
CGR02,2,1984,8,13,001d,tu,b,9,phoetaliot nebrascen,2,1,2,4,2,,1,3,1,3,19,
CGR02,2,1984,8,13,001d,tu,b,16,melanoplus bivittatu,,,,,,,1,1,,,2,
CGR02,2,1984,8,13,001d,tu,b,29,mermiria bivittata,,,,,,,1,1,,,2,
CGR02,2,1984,8,13,004b,tu,a,27,orphulella speciosa,1,3,2,,,2,2,,3,,13,
CGR02,2,1984,8,13,004b,tu,a,9,phoetaliot nebrascen,14,20,9,7,5,7,11,11,10,8,102,
CGR02,2,1984,8,13,004b,tu,a,10,melanoplus scudderi,4,2,2,5,3,4,1,5,1,3,30,
CGR02,2,1984,8,13,004b,tu,a,15,melanoplus keeleri,,,,1,,2,,1,,,4,
CGR02,2,1984,8,13,004b,tu,a,4,hypochlora alba,,,,,1,,,1,,1,3,
CGR02,2,1984,8,13,004b,tu,a,12,melanoplus femurrubr,1,3,6,10,5,6,8,5,2,3,49,
CGR02,2,1984,8,13,004b,tu,a,16,melanoplus bivittatu,1,,,,,,,1,,,2,
CGR02,2,1984,8,13,004b,tu,a,8,hesperotet species,1,,,,,,,,,,1,
CGR02,2,1984,8,13,004b,tu,a,32,boopedon auriventr,1,,,,,,,,,,1,
CGR02,2,1984,8,13,004b,tu,b,27,orphulella speciosa,1,,2,1,4,1,1,1,1,1,13,
CGR02,2,1984,8,13,004b,tu,b,9,phoetaliot nebrascen,7,5,11,15,6,3,7,5,5,4,68,
CGR02,2,1984,8,13,004b,tu,b,10,melanoplus scudderi,4,2,2,,,,3,4,1,2,18,
CGR02,2,1984,8,13,004b,tu,b,12,melanoplus femurrubr,5,,2,1,2,1,3,3,3,,20,
CGR02,2,1984,8,13,004b,tu,b,8,hesperotet species,,,,,,2,1,,,,3,
CGR02,2,1984,8,13,004b,tu,b,4,hypochlora alba,,,,1,,1,,,,,2,
CGR02,2,1984,8,13,004b,tu,b,29,mermiria bivittata,,,1,,,,,,,,1,
CGR02,2,1984,8,13,000b,tu,a,27,orphulella speciosa,,,,,1,5,2,,1,2,11,
CGR02,2,1985,8,5,001d,fl,a,27,orphulella speciosa,9,15,22,27,25,34,39,49,33,15,268,
CGR02,2,1985,8,5,001d,fl,a,9,phoetaliot nebrascen,6,6,8,7,11,5,12,7,11,5,78,
CGR02,2,1985,8,5,001d,fl,a,10,melanoplus scudderi,,,,,,2,,,1,,3,
CGR02,2,1985,8,5,001d,fl,a,15,melanoplus keeleri,,,,1,,,3,2,1,,7,
CGR02,2,1985,8,5,001d,fl,a,29,mermiria bivittata,1,,,,,1,1,,,,3,
CGR02,2,1985,8,5,001d,fl,a,55,arphia species,1,,,,,,1,,,,2,
CGR02,2,1985,8,5,001d,fl,a,16,melanoplus bivittatu,,,,,,,1,,,,1,
CGR02,2,1985,8,11,001d,fl,a,27,orphulella speciosa,2,7,5,3,2,5,10,6,4,7,51,
CGR02,2,1985,8,11,001d,fl,a,9,phoetaliot nebrascen,,,1,1,1,2,2,3,1,3,14,
CGR02,2,1985,8,11,001d,fl,a,15,melanoplus keeleri,,,,,,,,,,1,1,
CGR02,2,1985,8,5,001d,fl,b,27,orphulella speciosa,10,9,5,11,4,11,6,10,7,6,79,
CGR02,2,1985,8,5,001d,fl,b,9,phoetaliot nebrascen,5,,3,5,6,6,3,2,7,2,39,
CGR02,2,1985,8,5,001d,fl,b,10,melanoplus scudderi,3,,1,,,,,,,,4,
CGR02,2,1985,8,5,001d,fl,b,15,melanoplus keeleri,,2,1,,4,1,1,2,2,,13,
CGR02,2,1985,8,5,001d,fl,b,12,melanoplus femurrubr,,1,1,,,,,,,1,3,
CGR02,2,1985,8,5,001d,fl,b,54,pardalopho species,,1,,,,,,,,,1,
CGR02,2,1985,8,5,001d,fl,b,8,hesperotet species,,,,,,,1,,,,1,
CGR02,2,1985,8,11,001d,fl,b,27,orphulella speciosa,,,9,4,,2,4,2,1,4,26,
CGR02,2,1985,8,11,001d,fl,b,9,phoetaliot nebrascen,1,1,3,2,1,,1,1,1,,11,
CGR02,2,1985,8,11,001d,fl,b,10,melanoplus scudderi,,,,,,,,,,1,1,
CGR02,2,1985,8,11,001d,fl,b,15,melanoplus keeleri,,,,3,2,1,,1,,1,8,
CGR02,2,1985,8,11,001d,fl,b,12,melanoplus femurrubr,1,,,,,,,,,1,2,
CGR02,2,1985,8,11,001d,fl,b,18,melanoplus species,,,3,,,,,,,,3,
CGR02,2,1985,8,11,001d,fl,b,8,hesperotet species,,,,,,,,,2,,2,
CGR02,2,1985,8,5,002d,fl,a,27,orphulella speciosa,10,6,6,6,9,7,3,8,3,6,64,
CGR02,2,1985,8,5,002d,fl,a,9,phoetaliot nebrascen,6,15,9,1,7,7,4,4,3,8,64,
CGR02,2,1985,8,5,002d,fl,a,10,melanoplus scudderi,1,,2,4,,,,,,2,9,
CGR02,2,1985,8,5,002d,fl,a,15,melanoplus keeleri,,,1,2,,1,,1,1,1,7,
CGR02,2,1985,8,5,002d,fl,a,12,melanoplus femurrubr,,,,,,,1,,,,1,
CGR02,2,1985,8,5,002d,fl,a,17,melanoplus confusus,,1,,,,,,,,,1,
CGR02,2,1985,8,5,002d,fl,a,29,mermiria bivittata,,,,,,,,1,,,1,
CGR02,2,1985,8,5,002d,fl,a,8,hesperotet species,,,,,,,,,1,,1,
CGR02,2,1985,8,8,002d,fl,a,27,orphulella speciosa,3,7,1,4,2,2,1,3,,1,24,
CGR02,2,1985,8,8,002d,fl,a,9,phoetaliot nebrascen,4,6,2,,3,1,1,,1,2,20,
CGR02,2,1985,8,8,002d,fl,a,10,melanoplus scudderi,,,,3,1,,,2,,,6,
CGR02,2,1985,8,8,002d,fl,a,15,melanoplus keeleri,,,,1,1,,,,,,2,
CGR02,2,1985,8,8,002d,fl,a,29,mermiria bivittata,,,,1,,,,1,,,2,
CGR02,2,1985,8,8,002d,fl,a,8,hesperotet species,,1,,,,,,,,,1,
CGR02,2,1985,8,8,002d,fl,a,18,melanoplus species,1,,,,,,,,,,1,
CGR02,2,1985,8,5,002d,fl,b,27,orphulella speciosa,8,5,4,13,6,8,7,5,5,5,66,
CGR02,2,1985,8,5,002d,fl,b,9,phoetaliot nebrascen,8,8,6,7,7,9,11,11,11,10,88,
CGR02,2,1985,8,5,002d,fl,b,10,melanoplus scudderi,,,,,1,,,,1,,2,
CGR02,2,1985,8,5,002d,fl,b,15,melanoplus keeleri,,,,,1,,,,,,1,
CGR02,2,1985,8,5,002d,fl,b,12,melanoplus femurrubr,,,,,2,,4,,,,6,
CGR02,2,1985,8,5,002d,fl,b,8,hesperotet species,,,,,1,,,,1,,2,
CGR02,2,1985,8,9,002d,fl,b,27,orphulella speciosa,1,1,1,,,1,,2,3,1,10,
CGR02,2,1985,8,9,002d,fl,b,9,phoetaliot nebrascen,8,,4,3,,2,,2,2,7,28,
CGR02,2,1985,8,9,002d,fl,b,8,hesperotet species,,,,1,,,,,,,1,
CGR02,2,1985,8,9,002d,fl,b,12,melanoplus femurrubr,,,,1,,,,3,1,,5,
CGR02,2,1985,8,6,004b,fl,a,27,orphulella speciosa,2,1,2,2,2,1,2,1,1,2,16,
CGR02,2,1985,8,6,004b,fl,a,9,phoetaliot nebrascen,10,7,12,8,10,11,6,6,3,6,79,
CGR02,2,1985,8,6,004b,fl,a,10,melanoplus scudderi,,1,1,,,5,4,3,5,2,21,
CGR02,2,1985,8,6,004b,fl,a,15,melanoplus keeleri,,,,2,,2,2,2,2,2,12,
CGR02,2,1985,8,6,004b,fl,a,8,hesperotet species,,1,6,1,,1,1,1,2,3,16,
CGR02,2,1985,8,6,004b,fl,a,4,hypochlora alba,,1,1,,1,9,2,,,2,16,
CGR02,2,1985,8,6,004b,fl,a,12,melanoplus femurrubr,1,,2,3,2,1,,,,,9,
CGR02,2,1985,8,6,004b,fl,a,16,melanoplus bivittatu,,,1,,,,,,,,1,
CGR02,2,1985,8,11,004b,fl,a,9,phoetaliot nebrascen,5,,,3,2,,,1,4,2,17,
CGR02,2,1985,8,11,004b,fl,a,10,melanoplus scudderi,,,3,1,1,2,,4,2,1,14,
CGR02,2,1985,8,11,004b,fl,a,15,melanoplus keeleri,,,,,1,,,,1,5,7,
CGR02,2,1985,8,11,004b,fl,a,4,hypochlora alba,1,1,,1,,,3,3,2,1,12,
CGR02,2,1985,8,11,004b,fl,a,8,hesperotet species,,,,1,,1,,,2,2,6,
CGR02,2,1985,8,11,004b,fl,a,12,melanoplus femurrubr,,,,,,,,,2,,2,
CGR02,2,1985,8,11,004b,fl,a,31,pseudopoma brachypte,,,,,,,,,1,,1,
CGR02,2,1985,8,6,004b,fl,b,27,orphulella speciosa,,1,1,,,,,1,1,3,7,
CGR02,2,1985,8,6,004b,fl,b,9,phoetaliot nebrascen,3,8,8,9,12,5,12,8,6,5,76,
CGR02,2,1985,8,6,004b,fl,b,10,melanoplus scudderi,1,1,3,3,10,11,4,3,7,5,48,
CGR02,2,1985,8,6,004b,fl,b,15,melanoplus keeleri,,,2,1,1,1,,,,,5,
CGR02,2,1985,8,6,004b,fl,b,8,hesperotet species,,1,,1,,1,3,,,,6,
CGR02,2,1985,8,6,004b,fl,b,12,melanoplus femurrubr,,,,1,,,1,,,1,3,
CGR02,2,1985,8,6,004b,fl,b,4,hypochlora alba,,,1,,,1,2,4,2,,10,
CGR02,2,1985,8,6,004b,fl,b,29,mermiria bivittata,,,,,,,,,,1,1,
CGR02,2,1985,8,11,004b,fl,b,27,orphulella speciosa,,,,,,,1,,,2,3,
CGR02,2,1985,8,11,004b,fl,b,9,phoetaliot nebrascen,1,1,4,2,3,1,5,,6,5,28,
CGR02,2,1985,8,11,004b,fl,b,10,melanoplus scudderi,1,,1,4,6,5,7,5,6,,35,
CGR02,2,1985,8,11,004b,fl,b,15,melanoplus keeleri,1,,,1,2,1,3,4,3,,15,
CGR02,2,1985,8,11,004b,fl,b,4,hypochlora alba,,,,1,,1,,,1,5,8,
CGR02,2,1985,8,11,004b,fl,b,8,hesperotet species,,,1,,,,,,2,,3,
CGR02,2,1985,8,11,004b,fl,b,12,melanoplus femurrubr,,,1,,,,,,1,,2,
CGR02,2,1985,8,11,004b,fl,b,16,melanoplus bivittatu,,,1,,,,,,,,1,
CGR02,2,1985,8,11,004b,fl,b,18,melanoplus species,,,,,1,,,,1,,2,
CGR02,2,1985,8,11,004b,fl,b,29,mermiria bivittata,,,,,,,,,,1,1,
CGR02,2,1985,8,6,004d,fl,a,27,orphulella speciosa,,3,2,1,,1,3,,3,2,15,
CGR02,2,1985,8,6,004d,fl,a,9,phoetaliot nebrascen,7,16,3,4,5,4,3,2,5,2,51,
CGR02,2,1985,8,6,004d,fl,a,10,melanoplus scudderi,,2,2,3,,2,1,3,2,,15,
CGR02,2,1985,8,6,004d,fl,a,15,melanoplus keeleri,,1,1,3,,1,3,1,3,4,17,
CGR02,2,1985,8,6,004d,fl,a,4,hypochlora alba,,1,1,1,1,,,,,,4,
CGR02,2,1985,8,6,004d,fl,a,8,hesperotet species,6,1,1,2,,1,2,1,,,14,
CGR02,2,1985,8,6,004d,fl,a,12,melanoplus femurrubr,,,,,,2,,,,,2,
CGR02,2,1985,8,6,004d,fl,a,16,melanoplus bivittatu,,1,,,,,,,,,1,
CGR02,2,1985,8,6,004d,fl,a,18,melanoplus species,,,,,,,1,,,,1,
CGR02,2,1985,8,6,004d,fl,a,29,mermiria bivittata,,,,1,,,,,,,1,
CGR02,2,1985,8,11,004d,fl,a,27,orphulella speciosa,1,,,3,1,1,,1,1,1,9,
CGR02,2,1985,8,11,004d,fl,a,9,phoetaliot nebrascen,2,8,5,6,5,1,3,2,3,2,37,
CGR02,2,1985,8,11,004d,fl,a,10,melanoplus scudderi,,3,2,1,1,2,2,2,5,,18,
CGR02,2,1985,8,11,004d,fl,a,15,melanoplus keeleri,,1,,1,,,,,,1,3,
CGR02,2,1985,8,11,004d,fl,a,4,hypochlora alba,1,,,,,,,,2,1,4,
CGR02,2,1985,8,11,004d,fl,a,31,pseudopoma brachypte,,,,,,,,1,,,1,
CGR02,2,1985,8,11,004d,fl,a,8,hesperotet species,1,,,,,,,2,2,,5,
CGR02,2,1985,8,11,004d,fl,a,12,melanoplus femurrubr,1,,,,1,,1,,,,3,
CGR02,2,1985,8,11,004d,fl,a,16,melanoplus bivittatu,,,,1,,,,,,,1,
CGR02,2,1985,8,6,004d,fl,b,27,orphulella speciosa,,,,1,,,,2,2,1,6,
CGR02,2,1985,8,6,004d,fl,b,9,phoetaliot nebrascen,,,,1,,,1,1,3,3,9,
CGR02,2,1985,8,6,004d,fl,b,10,melanoplus scudderi,,,,,,,1,,1,,2,
CGR02,2,1985,8,6,004d,fl,b,4,hypochlora alba,1,,,,,,,,,1,2,
CGR02,2,1985,8,6,004d,fl,b,8,hesperotet species,1,,2,,1,1,1,6,1,1,14,
CGR02,2,1985,8,6,004d,fl,b,12,melanoplus femurrubr,,,2,1,1,,,2,,,6,
CGR02,2,1985,8,6,004d,fl,b,31,pseudopoma brachypte,,,,,1,,,,,,1,
CGR02,2,1985,8,11,004d,fl,b,27,orphulella speciosa,1,,,1,1,,,,1,,4,
CGR02,2,1985,8,11,004d,fl,b,9,phoetaliot nebrascen,,1,,1,,3,3,2,3,,13,
CGR02,2,1985,8,11,004d,fl,b,10,melanoplus scudderi,,,,2,,,,,,,2,
CGR02,2,1985,8,11,004d,fl,b,4,hypochlora alba,,1,,,1,,,,,1,3,
CGR02,2,1985,8,11,004d,fl,b,18,melanoplus species,,1,,,,,,,,,1,
CGR02,2,1985,8,11,004d,fl,b,12,melanoplus femurrubr,,,,1,,1,,,,,2,
CGR02,2,1985,8,11,004d,fl,b,8,hesperotet species,,,,2,,,,,1,,3,
CGR02,2,1985,8,6,004f,fl,a,27,orphulella speciosa,3,5,1,3,1,1,2,2,,,18,
CGR02,2,1985,8,6,004f,fl,a,9,phoetaliot nebrascen,10,9,5,9,4,3,4,8,3,5,60,
CGR02,2,1985,8,6,004f,fl,a,10,melanoplus scudderi,1,1,2,,,2,1,1,,,8,
CGR02,2,1985,8,6,004f,fl,a,15,melanoplus keeleri,,,,,,,,2,,2,4,
CGR02,2,1985,8,6,004f,fl,a,8,hesperotet species,1,,,1,5,,,1,1,,9,
CGR02,2,1985,8,6,004f,fl,a,12,melanoplus femurrubr,,,1,,,,1,1,1,,4,
CGR02,2,1985,8,11,004f,fl,a,27,orphulella speciosa,,1,1,1,,,2,2,1,,8,
CGR02,2,1985,8,11,004f,fl,a,9,phoetaliot nebrascen,3,2,6,3,3,3,2,2,2,2,28,
CGR02,2,1985,8,11,004f,fl,a,10,melanoplus scudderi,,,,2,,1,,1,,,4,
CGR02,2,1985,8,11,004f,fl,a,15,melanoplus keeleri,,,,,,,,,,1,1,
CGR02,2,1985,8,11,004f,fl,a,4,hypochlora alba,,,1,,,,,,,,1,
CGR02,2,1985,8,11,004f,fl,a,32,boopedon auriventr,,,,,,,1,,,,1,
CGR02,2,1985,8,11,004f,fl,a,12,melanoplus femurrubr,,1,,,,,,,1,,2,
CGR02,2,1985,8,11,004f,fl,a,8,hesperotet species,,1,,,,,,,,1,2,
CGR02,2,1985,8,6,004f,fl,b,27,orphulella speciosa,,,,,,2,1,2,1,,6,
CGR02,2,1985,8,6,004f,fl,b,9,phoetaliot nebrascen,1,2,5,,2,1,2,2,5,1,21,
CGR02,2,1985,8,6,004f,fl,b,10,melanoplus scudderi,1,1,,,2,1,,,,,5,
CGR02,2,1985,8,6,004f,fl,b,15,melanoplus keeleri,1,1,,,,,,,,1,3,
CGR02,2,1985,8,6,004f,fl,b,4,hypochlora alba,,,,,1,1,,,,,2,
CGR02,2,1985,8,6,004f,fl,b,8,hesperotet species,1,2,,1,1,,,,,,5,
CGR02,2,1985,8,6,004f,fl,b,12,melanoplus femurrubr,,,,,1,,,,1,,2,
CGR02,2,1985,8,6,004f,fl,b,32,boopedon auriventr,,,,,1,,,,,,1,
CGR02,2,1985,8,6,004f,fl,b,16,melanoplus bivittatu,,,1,,,,,,,,1,
CGR02,2,1985,8,11,004f,fl,b,27,orphulella speciosa,,1,5,,1,,,,1,,8,
CGR02,2,1985,8,11,004f,fl,b,9,phoetaliot nebrascen,,4,1,,3,,,1,1,2,12,
CGR02,2,1985,8,11,004f,fl,b,4,hypochlora alba,,,,,,1,1,1,1,,4,
CGR02,2,1985,8,11,004f,fl,b,12,melanoplus femurrubr,1,,,,1,,1,,,,3,
CGR02,2,1985,8,11,004f,fl,b,8,hesperotet species,,,,,,,,2,1,,3,
CGR02,2,1985,8,6,000b,fl,a,27,orphulella speciosa,,1,,1,1,1,3,,,,7,
CGR02,2,1985,8,6,000b,fl,a,9,phoetaliot nebrascen,8,4,1,4,4,,4,1,4,3,33,
CGR02,2,1985,8,6,000b,fl,a,10,melanoplus scudderi,,,,,,,3,2,1,3,9,
CGR02,2,1985,8,6,000b,fl,a,15,melanoplus keeleri,,,1,,,,2,1,2,,6,
CGR02,2,1985,8,6,000b,fl,a,4,hypochlora alba,3,,,,,,,,,,3,
CGR02,2,1985,8,6,000b,fl,a,8,hesperotet species,,,,2,,1,1,1,2,1,8,
CGR02,2,1985,8,6,000b,fl,a,12,melanoplus femurrubr,,,,,,1,,,2,2,5,
CGR02,2,1985,8,11,000b,fl,a,27,orphulella speciosa,,,,1,,,,,,1,2,
CGR02,2,1985,8,11,000b,fl,a,9,phoetaliot nebrascen,1,1,,2,,,,,4,1,9,
CGR02,2,1985,8,11,000b,fl,a,10,melanoplus scudderi,,,,1,,,,,,,1,
CGR02,2,1985,8,11,000b,fl,a,15,melanoplus keeleri,,,,,1,,,1,,,2,
CGR02,2,1985,8,11,000b,fl,a,29,mermiria bivittata,,,,,,,,,1,,1,
CGR02,2,1985,8,11,000b,fl,a,8,hesperotet species,,1,,,1,,,1,2,2,7,
CGR02,2,1985,8,11,000b,fl,a,12,melanoplus femurrubr,1,,,,,,,1,,,2,
CGR02,2,1985,8,11,000b,fl,a,31,pseudopoma brachypte,,1,,,,,,1,,,2,
CGR02,2,1985,8,6,000b,fl,b,27,orphulella speciosa,1,,,1,,,,1,,,3,
CGR02,2,1985,8,6,000b,fl,b,9,phoetaliot nebrascen,1,6,3,2,,2,2,1,,,17,
CGR02,2,1985,8,6,000b,fl,b,10,melanoplus scudderi,2,1,2,1,3,5,,,1,3,18,
CGR02,2,1985,8,6,000b,fl,b,15,melanoplus keeleri,,1,,,,1,,,,,2,
CGR02,2,1985,8,6,000b,fl,b,8,hesperotet species,,1,1,3,1,3,1,,,,10,
CGR02,2,1985,8,6,000b,fl,b,12,melanoplus femurrubr,,,,,,1,1,,,,2,
CGR02,2,1985,8,6,000b,fl,b,4,hypochlora alba,,1,,1,,,1,,,,3,
CGR02,2,1985,8,11,000b,fl,b,27,orphulella speciosa,,,,,1,,,,,,1,
