"lakename","lakeid","year4","daynum","sampledate","division","genus","species","description","concentration","gal_dimension","mean_individ_vol","mean_individ_biovol","total_vol","total_biovol" 
"Peter Lake","R",1988,166,1988-06-14,"Chrysophyta","Mallomonas",NA,NA,0.01,21,2222,2222,0.002,0.002
"Peter Lake","R",1988,166,1988-06-14,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",15.68,2.85,12.12,12.12,0.019,0.019
"Peter Lake","R",1988,166,1988-06-14,"Pyrrhophyta",NA,NA,"Misc. naked dinoflagellate",0.01,14,1435.1,1435.1,0.001,0.001
"Peter Lake","R",1988,166,1988-06-14,"Chlorophyta",NA,NA,"non-motile chorococcales",0.077,10.5,606.1,606.1,0.005,0.005
"Peter Lake","R",1988,166,1988-06-14,"Chlorophyta",NA,NA,"non-motile chorococcales",0.031,14,1436.8,1436.8,0.004,0.004
"Peter Lake","R",1988,166,1988-06-14,"Cyanophyta","Nostoc",NA,"single trichomes",0.01,112,12495,12495,0.013,0.013
"Peter Lake","R",1988,166,1988-06-14,"Chlorophyta","Oocystis",NA,"sp. 1",0.163,19.25,1138.77,311.18,0.019,0.005
"Peter Lake","R",1988,166,1988-06-14,"Chlorophyta","Oocystis",NA,"sp. 2",0.229,11.2,56.05,56.05,0.001,0.001
"Peter Lake","R",1988,166,1988-06-14,"Cyanophyta","Oscillatoria","limnetica",NA,0.02,147,1755.2,1755.2,0.004,0.004
"Peter Lake","R",1988,166,1988-06-14,"Chlorophyta","Quadrigula","lacustris",NA,0.071,40,495,495,0.004,0.004
"Peter Lake","R",1988,166,1988-06-14,"Chlorophyta","Scenedesmus",NA,NA,0.01,35,1200,1200,0.001,0.001
"Peter Lake","R",1988,166,1988-06-14,"Chlorophyta","Schroederia",NA,NA,0.01,17.5,240,240,0,0
"Peter Lake","R",1988,166,1988-06-14,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.102,26.95,10237.1,232.4,0.104,0.002
"Peter Lake","R",1988,166,1988-06-14,"Chrysophyta","Stichogloea","olivacea",NA,0.02,52.5,1745.1,1745.1,0.004,0.004
"Tuesday Lake","T",1988,167,1988-06-15,"Cyanophyta","Aphanocapsa","elachista",NA,0.407,35.7,23796.1,526.96,0.969,0.021
"Tuesday Lake","T",1988,167,1988-06-15,"Chrysophyta","Chrysosphaerella","longispina","(colonial)",0.068,49.7,5274.4,5274.4,0.036,0.036
"Tuesday Lake","T",1988,167,1988-06-15,"Chrysophyta","Chrysosphaerella",NA,NA,0.535,7,179.4,179.4,0.01,0.01
"Tuesday Lake","T",1988,167,1988-06-15,"Chlorophyta","Closteriopsis","longissima",NA,0.217,51.4,123.9,123.9,0.003,0.003
"Tuesday Lake","T",1988,167,1988-06-15,"Chlorophyta",NA,NA,"colonial chlorophyta",0.014,14,1435.1,1435.1,0.002,0.002
"Tuesday Lake","T",1988,167,1988-06-15,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.759,14,266.83,266.83,0.02,0.02
"Tuesday Lake","T",1988,167,1988-06-15,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.461,20.56,735.6,735.6,0.034,0.034
"Tuesday Lake","T",1988,167,1988-06-15,"Chrysophyta","Diceras",NA,NA,1.166,70,153,153,0.018,0.018
"Tuesday Lake","T",1988,167,1988-06-15,"Chlorophyta","Dictyosphaerium","pulchellum",NA,1.939,27.12,10432.1,939.8,2.023,0.182
"Tuesday Lake","T",1988,167,1988-06-15,"Chrysophyta","Dinobryon","bavaricum",NA,0.176,1.2,6104.7,507.2,0.107,0.009
"Tuesday Lake","T",1988,167,1988-06-15,"Chrysophyta","Dinobryon","bavaricum",NA,0.027,52.5,1938,161,0.005,0
"Tuesday Lake","T",1988,167,1988-06-15,"Chrysophyta","Dinobryon","divergens",NA,0.014,28,1060,200,0.001,0
"Tuesday Lake","T",1988,167,1988-06-15,"Chrysophyta","Dinobryon",NA,"sp. 11",0.054,28,641,89.6,0.003,0
"Tuesday Lake","T",1988,167,1988-06-15,"Chrysophyta","Dinobryon",NA,"sp. 6",0.014,21,641,89.6,0.001,0
"Tuesday Lake","T",1988,167,1988-06-15,"Chlorophyta","Gloeocystis",NA,NA,0.027,12.25,961.4,179,0.003,0
"Tuesday Lake","T",1988,167,1988-06-15,"Pyrrhophyta","Gymnodinium",NA,NA,0.027,22.75,2736.9,2736.9,0.007,0.007
"Tuesday Lake","T",1988,167,1988-06-15,"Chrysophyta","Kephyrion",NA,"sp. 1",0.077,7,179.4,179.4,0.001,0.001
"Tuesday Lake","T",1988,167,1988-06-15,"Chrysophyta","Mallomonaas","acaroides",NA,0.041,81.67,2222,2222,0.009,0.009
"Tuesday Lake","T",1988,167,1988-06-15,"Chrysophyta","Mallomonas",NA,NA,0.014,70,2222,2222,0.003,0.003
"Tuesday Lake","T",1988,167,1988-06-15,"Cyanophyta","Merismopedia","tenuissima",NA,0.014,21,NA,30.8,NA,0
"Tuesday Lake","T",1988,167,1988-06-15,"Chlorophyta",NA,NA,"Misc. chain desmid",0.014,175,6734.8,6734.8,0.009,0.009
"Tuesday Lake","T",1988,167,1988-06-15,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",25.85,4.76,56.5,56.5,0.146,0.146
"Tuesday Lake","T",1988,167,1988-06-15,"Pyrrhophyta",NA,NA,"Misc. naked dinoflagellate",0.108,14.44,1574.7,1574.7,0.017,0.017
"Tuesday Lake","T",1988,167,1988-06-15,"Chlorophyta","Monomastix","astigmata",NA,0.841,6.52,30.3,30.3,0.003,0.003
"Tuesday Lake","T",1988,167,1988-06-15,"Chlorophyta",NA,NA,"non-motile chorococcales",0.306,9.62,466.1,466.1,0.014,0.014
"Tuesday Lake","T",1988,167,1988-06-15,"Pyrrhophyta","Peridinium","umbonatum",NA,0.136,17.5,1580,1580,0.021,0.021
"Tuesday Lake","T",1988,167,1988-06-15,"Chlorophyta","Selenastrum",NA,NA,0.068,10.5,27,27,0,0
"Tuesday Lake","T",1988,167,1988-06-15,"Bacillariophyta","Tabellaria","fenestrata",NA,0.014,70,2058,2058,0.003,0.003
"Paul Lake","L",1988,172,1988-06-20,"Chlorophyta","Ankyra","judayi",NA,0.054,40.25,516.3,516.3,0.003,0.003
"Paul Lake","L",1988,172,1988-06-20,"Chlorophyta","Botryococcus","braunii",NA,0.018,17.5,2802.9,2802.9,0.005,0.005
"Paul Lake","L",1988,172,1988-06-20,"Chrysophyta","Chrysosphaerella","longispina","(colonial)",0.018,45.5,5202.6,5202.6,0.009,0.009
"Paul Lake","L",1988,172,1988-06-20,"Chlorophyta","Crucigenia","rectangularis",NA,0.398,33.43,1091.6,1091.6,0.043,0.043
"Paul Lake","L",1988,172,1988-06-20,"Chlorophyta","Crucigenia",NA,NA,0.054,9.33,113,113,0.001,0.001
"Paul Lake","L",1988,172,1988-06-20,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.651,14,266.83,266.83,0.017,0.017
"Paul Lake","L",1988,172,1988-06-20,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.524,20.27,704.95,704.95,0.037,0.037
"Paul Lake","L",1988,172,1988-06-20,"Cryptophyta","Cryptomonas","caudata",NA,0.204,8.75,451.4,451.4,0.009,0.009
"Paul Lake","L",1988,172,1988-06-20,"Chrysophyta","Diceras",NA,NA,0.018,70,153,153,0,0
"Paul Lake","L",1988,172,1988-06-20,"Chrysophyta","Dinobryon","bavaricum",NA,0.145,52.5,1938,161,0.028,0.002
"Paul Lake","L",1988,172,1988-06-20,"Chrysophyta","Dinobryon","divergens",NA,0.018,98,3849,618,0.007,0.001
"Paul Lake","L",1988,172,1988-06-20,"Chrysophyta","Dinobryon",NA,"sp. 10",0.036,28,641,89.6,0.002,0
"Paul Lake","L",1988,172,1988-06-20,"Chrysophyta","Kephyrion",NA,"sp. 1",0.102,5.25,75.7,75.7,0.001,0.001
"Paul Lake","L",1988,172,1988-06-20,"Chrysophyta","Mallomonaas","acaroides",NA,0.036,52.5,2222,2222,0.008,0.008
"Paul Lake","L",1988,172,1988-06-20,"Cyanophyta","Merismopedia","tenuissima",NA,2.26,42,NA,32.45,NA,0.007
"Paul Lake","L",1988,172,1988-06-20,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",16.008,3.38,20.22,20.22,0.032,0.032
"Paul Lake","L",1988,172,1988-06-20,"Chlorophyta","Monomastix","astigmata",NA,3.161,6.79,30.3,30.3,0.01,0.01
"Paul Lake","L",1988,172,1988-06-20,"Cyanophyta","Nostoc",NA,"single trichomes",0.09,35,1146.6,1146.6,0.01,0.01
"Paul Lake","L",1988,172,1988-06-20,"Chlorophyta","Oocystis",NA,"sp. 1",0.362,14,438,232.58,0.016,0.008
"Paul Lake","L",1988,172,1988-06-20,"Chlorophyta","Oocystis",NA,"sp. 2",0.036,8.75,84.08,84.08,0,0
"Paul Lake","L",1988,172,1988-06-20,"Chlorophyta","Quadrigula","lacustris",NA,0.145,42.44,591.26,41.56,0.009,0.001
"Paul Lake","L",1988,172,1988-06-20,"Chlorophyta","Selenastrum","minutum",NA,0.102,7,27,27,0,0
"Paul Lake","L",1988,172,1988-06-20,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.56,40.08,33673,881.45,1.886,0.049
"Paul Lake","L",1988,172,1988-06-20,"Chrysophyta","Stichogloea","olivacea",NA,0.054,29.17,481.4,481.4,0.003,0.003
"Peter Lake","R",1988,173,1988-06-21,"Chlorophyta","Ankyra","judayi",NA,0.054,31.5,404.05,404.05,0.002,0.002
"Peter Lake","R",1988,173,1988-06-21,"Cyanophyta","Aphanocapsa","elachista",NA,4.652,47.09,54611.96,452.62,25.405,0.211
"Peter Lake","R",1988,173,1988-06-21,"Chlorophyta",NA,NA,"colonial chlorophyta",0.041,9.33,424.76,238.6,0.002,0.001
"Peter Lake","R",1988,173,1988-06-21,"Cyanophyta",NA,NA,"colonial cyanophyta type 1",0.054,21,4843.5,275.9,0.026,0.001
"Peter Lake","R",1988,173,1988-06-21,"Chlorophyta","Crucigenia","rectangularis",NA,0.176,21.1,458.9,458.9,0.008,0.008
"Peter Lake","R",1988,173,1988-06-21,"Chlorophyta","Crucigenia",NA,NA,0.027,7,113,113,0,0
"Peter Lake","R",1988,173,1988-06-21,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.054,14,266.83,266.83,0.001,0.001
"Peter Lake","R",1988,173,1988-06-21,"Cryptophyta","Cryptomonas","caudata",NA,0.918,7,361.14,361.14,0.033,0.033
"Peter Lake","R",1988,173,1988-06-21,"Miscellaneous",NA,NA,"Cysts",0.014,10.5,605.4,605.4,0.001,0.001
"Peter Lake","R",1988,173,1988-06-21,"Cyanophyta","Dactylococcopsis","smithii",NA,0.176,39.8,870.5,163.76,0.015,0.003
"Peter Lake","R",1988,173,1988-06-21,"Chrysophyta","Diceras",NA,NA,0.027,57.75,153,153,0,0
"Peter Lake","R",1988,173,1988-06-21,"Chrysophyta","Dinobryon",NA,"cyst",0.014,35,1283,206,0.002,0
"Peter Lake","R",1988,173,1988-06-21,"Chrysophyta","Dinobryon",NA,"sp. 6",0.014,21,641,89.6,0.001,0
"Peter Lake","R",1988,173,1988-06-21,"Chrysophyta","Kephyrion",NA,"sp. 1",0.014,10.5,605.44,605.44,0.001,0.001
"Peter Lake","R",1988,173,1988-06-21,"Chrysophyta","Mallomonas",NA,NA,0.014,21,2222,2222,0.003,0.003
"Peter Lake","R",1988,173,1988-06-21,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",7.112,5.25,75.77,75.77,0.054,0.054
"Peter Lake","R",1988,173,1988-06-21,"Pyrrhophyta",NA,NA,"Misc. naked dinoflagellate",0.041,12.8,1096.8,1096.8,0.004,0.004
"Peter Lake","R",1988,173,1988-06-21,"Chlorophyta","Monomastix","astigmata",NA,0.077,5.25,30.3,30.3,0,0
"Peter Lake","R",1988,173,1988-06-21,"Bacillariophyta","Nitzschia",NA,NA,0.014,28,362,362,0,0
"Peter Lake","R",1988,173,1988-06-21,"Bacillariophyta","Nitzschia",NA,NA,0.014,63,9702,9702,0.013,0.013
"Peter Lake","R",1988,173,1988-06-21,"Chlorophyta",NA,NA,"non-motile chorococcales",0.041,10.5,606.1,606.1,0.002,0.002
"Peter Lake","R",1988,173,1988-06-21,"Cyanophyta","Nostoc",NA,"single trichomes",0.014,35,735,735,0.001,0.001
"Peter Lake","R",1988,173,1988-06-21,"Chlorophyta","Oocystis",NA,"sp. 1",0.271,15.92,644.1,296.74,0.017,0.008
"Peter Lake","R",1988,173,1988-06-21,"Chlorophyta","Oocystis",NA,"sp. 2",0.041,7,112.1,112.1,0,0
"Peter Lake","R",1988,173,1988-06-21,"Chlorophyta","Quadrigula",NA,NA,0.258,44.3,2014.8,45.6,0.052,0.001
"Peter Lake","R",1988,173,1988-06-21,"Chlorophyta","Selenastrum","minutum",NA,0.014,7,27,27,0,0
"Peter Lake","R",1988,173,1988-06-21,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.068,33.25,19225.5,538.7,0.13,0.004
"Peter Lake","R",1988,173,1988-06-21,"Chrysophyta","Stichogloea","olivacea",NA,0.081,30.4,962.8,962.8,0.008,0.008
"Peter Lake","R",1988,173,1988-06-21,"Chlorophyta","Xanthidium",NA,NA,0.014,10.5,1524,1524,0.002,0.002
"Tuesday Lake","T",1988,174,1988-06-22,"Cyanophyta","Aphanocapsa","elachista",NA,0.014,45.5,49264.7,141.15,0.067,0
"Tuesday Lake","T",1988,174,1988-06-22,"Bacillariophyta","Asterionella","formosa",NA,0.027,108.5,1199.5,1199.5,0.003,0.003
"Tuesday Lake","T",1988,174,1988-06-22,"Chrysophyta","Chrysosphaerella","longispina","(colonial)",0.38,64.25,8944.9,8944.9,0.34,0.34
"Tuesday Lake","T",1988,174,1988-06-22,"Chrysophyta","Chrysosphaerella",NA,NA,1.835,7,179.4,179.4,0.033,0.033
"Tuesday Lake","T",1988,174,1988-06-22,"Chlorophyta","Closteriopsis","longissima",NA,0.651,52.5,126.5,126.5,0.008,0.008
"Tuesday Lake","T",1988,174,1988-06-22,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",1.194,14,266.83,266.83,0.032,0.032
"Tuesday Lake","T",1988,174,1988-06-22,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.448,21.33,821.4,821.4,0.037,0.037
"Tuesday Lake","T",1988,174,1988-06-22,"Chrysophyta","Diceras",NA,NA,0.393,57.25,153,153,0.006,0.006
"Tuesday Lake","T",1988,174,1988-06-22,"Chlorophyta","Dictyosphaerium","pulchellum",NA,0.068,37.1,26706.9,966.6,0.181,0.007
"Tuesday Lake","T",1988,174,1988-06-22,"Chrysophyta","Dinobryon","bavaricum",NA,0.149,131.73,7926.4,658.5,0.118,0.01
"Tuesday Lake","T",1988,174,1988-06-22,"Chrysophyta","Dinobryon","bavaricum",NA,0.108,49,1938,161,0.021,0.002
"Tuesday Lake","T",1988,174,1988-06-22,"Chrysophyta","Dinobryon","divergens",NA,0.027,161,22790,4300,0.062,0.012
"Tuesday Lake","T",1988,174,1988-06-22,"Chrysophyta","Dinobryon",NA,"sp. 11",0.041,24.5,641,89.6,0.003,0
"Tuesday Lake","T",1988,174,1988-06-22,"Chlorophyta","Gloeocystis",NA,NA,0.054,31.5,16346.8,816.4,0.089,0.004
"Tuesday Lake","T",1988,174,1988-06-22,"Miscellaneous","Gonyostomum",NA,NA,0.014,52.5,2859,2859,0.004,0.004
"Tuesday Lake","T",1988,174,1988-06-22,"Pyrrhophyta","Gymnodinium",NA,NA,0.014,24.5,3418.4,3418.4,0.005,0.005
"Tuesday Lake","T",1988,174,1988-06-22,"Chrysophyta","Mallomonaas","acaroides",NA,0.068,66.5,2222,2222,0.015,0.015
"Tuesday Lake","T",1988,174,1988-06-22,"Chrysophyta","Mallomonaas","akrokomos",NA,0.014,35,1795.8,1795.8,0.002,0.002
"Tuesday Lake","T",1988,174,1988-06-22,"Chlorophyta",NA,NA,"Misc. chlorophyte",0.306,14,358,358,0.011,0.011
"Tuesday Lake","T",1988,174,1988-06-22,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",31.81,3.69,26.31,26.31,0.084,0.084
"Tuesday Lake","T",1988,174,1988-06-22,"Chrysophyta",NA,NA,"Misc. motile chrysophyte",0.095,16,535,535,0.005,0.005
"Tuesday Lake","T",1988,174,1988-06-22,"Pyrrhophyta",NA,NA,"Misc. naked dinoflagellate",0.366,12.44,1006.8,1006.8,0.037,0.037
"Tuesday Lake","T",1988,174,1988-06-22,"Chlorophyta","Monomastix","astigmata",NA,0.841,6.84,30.3,30.3,0.003,0.003
"Tuesday Lake","T",1988,174,1988-06-22,"Chlorophyta","Mougeotia",NA,NA,0.014,1540,1975,1975,0.003,0.003
"Tuesday Lake","T",1988,174,1988-06-22,"Bacillariophyta","Nitzschia",NA,NA,0.027,43.75,362,362,0.001,0.001
"Tuesday Lake","T",1988,174,1988-06-22,"Chlorophyta",NA,NA,"non-motile chorococcales",1.035,7,196.2,196.2,0.02,0.02
"Tuesday Lake","T",1988,174,1988-06-22,"Chlorophyta","Oocystis",NA,"sp. 2",0.068,18.9,179.4,179.4,0.001,0.001
"Tuesday Lake","T",1988,174,1988-06-22,"Pyrrhophyta","Peridinium","umbonatum",NA,0.217,19.25,1580,1580,0.034,0.034
"Tuesday Lake","T",1988,174,1988-06-22,"Pyrrhophyta","Peridinium","wisconsinense",NA,0.014,52.5,40630,40630,0.055,0.055
"Tuesday Lake","T",1988,174,1988-06-22,"Chlorophyta","Selenastrum","minutum",NA,0.077,8.75,27,27,0,0
"Tuesday Lake","T",1988,174,1988-06-22,"Chlorophyta","Selenastrum",NA,NA,0.153,11.38,27,27,0,0
"Tuesday Lake","T",1988,174,1988-06-22,"Chlorophyta","Teilingia","granulata",NA,0.041,14,717.6,717.6,0.003,0.003
"Paul Lake","L",1988,179,1988-06-27,"Chlorophyta","Ankyra","judayi",NA,0.041,46.66,598.5,598.5,0.002,0.002
"Paul Lake","L",1988,179,1988-06-27,"Chlorophyta","Closteriopsis","longissima",NA,0.041,105,253,253,0.001,0.001
"Paul Lake","L",1988,179,1988-06-27,"Chlorophyta",NA,NA,"colonial chlorophyta",0.027,148.75,172136,1968,0.466,0.005
"Paul Lake","L",1988,179,1988-06-27,"Chlorophyta","Crucigenia","rectangularis",NA,0.719,28.7,1026.08,1026.08,0.074,0.074
"Paul Lake","L",1988,179,1988-06-27,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.664,14,266.83,266.83,0.018,0.018
"Paul Lake","L",1988,179,1988-06-27,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.448,22.27,934.9,934.9,0.042,0.042
"Paul Lake","L",1988,179,1988-06-27,"Cryptophyta","Cryptomonas","caudata",NA,0.841,8.75,451.4,451.4,0.038,0.038
"Paul Lake","L",1988,179,1988-06-27,"Cyanophyta","Dactylococcopsis","fascicularis","(<40)",0.014,24.5,132,132,0,0
"Paul Lake","L",1988,179,1988-06-27,"Chrysophyta","Dinobryon","bavaricum",NA,0.054,56.88,1938,161,0.011,0.001
"Paul Lake","L",1988,179,1988-06-27,"Chrysophyta","Dinobryon",NA,"cyst",0.42,47.87,1411.3,226.6,0.059,0.01
"Paul Lake","L",1988,179,1988-06-27,"Chrysophyta","Dinobryon","divergens",NA,0.068,96.6,5388.6,865.2,0.037,0.006
"Paul Lake","L",1988,179,1988-06-27,"Pyrrhophyta","Gymnodinium",NA,NA,0.014,21,2152.7,2152.7,0.003,0.003
"Paul Lake","L",1988,179,1988-06-27,"Chrysophyta","Kephyrion",NA,"sp. 1",0.306,7,179.4,179.4,0.005,0.005
"Paul Lake","L",1988,179,1988-06-27,"Chrysophyta","Mallomonaas","acaroides",NA,0.068,63,2222,2222,0.015,0.015
"Paul Lake","L",1988,179,1988-06-27,"Chrysophyta","Mallomonaas","akrokomos",NA,0.014,21,1077.5,1077.5,0.001,0.001
"Paul Lake","L",1988,179,1988-06-27,"Cyanophyta","Merismopedia","tenuissima",NA,4.449,24,NA,40.66,NA,0.018
"Paul Lake","L",1988,179,1988-06-27,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",26.84,4.38,43.99,43.99,0.118,0.118
"Paul Lake","L",1988,179,1988-06-27,"Chlorophyta","Monomastix","astigmata",NA,1.835,5.95,30.3,30.3,0.006,0.006
"Paul Lake","L",1988,179,1988-06-27,"Cyanophyta","Nostoc",NA,"single trichomes",0.054,31.5,992.2,992.2,0.005,0.005
"Paul Lake","L",1988,179,1988-06-27,"Chlorophyta","Oocystis",NA,"sp. 1",0.217,17.5,855.6,301.6,0.019,0.007
"Paul Lake","L",1988,179,1988-06-27,"Chlorophyta","Oocystis",NA,"sp. 2",0.054,7,56.05,56.05,0,0
"Paul Lake","L",1988,179,1988-06-27,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.502,35.83,24057,844.24,1.208,0.042
"Paul Lake","L",1988,179,1988-06-27,"Chrysophyta","Stichogloea","olivacea",NA,0.014,24.5,842.4,842.4,0.001,0.001
"Paul Lake","L",1988,179,1988-06-27,"Chlorophyta","Tetracystis",NA,NA,0.027,22.75,4409,4409,0.012,0.012
"Peter Lake","R",1988,180,1988-06-28,"Chlorophyta","Ankyra","judayi",NA,0.051,52.5,673.4,673.4,0.003,0.003
"Peter Lake","R",1988,180,1988-06-28,"Cyanophyta","Aphanocapsa","elachista",NA,11.37,53.3,79192.4,273.45,90.042,0.311
"Peter Lake","R",1988,180,1988-06-28,"Chlorophyta",NA,NA,"colonial chlorophyta",0.102,12.25,961.4,895,0.01,0.009
"Peter Lake","R",1988,180,1988-06-28,"Cyanophyta",NA,NA,"colonial cyanophyta type 1",0.051,10.5,605.4,716,0.003,0.004
"Peter Lake","R",1988,180,1988-06-28,"Chlorophyta","Crucigenia","rectangularis",NA,0.255,19.25,426.2,426.2,0.011,0.011
"Peter Lake","R",1988,180,1988-06-28,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.102,14,266.83,266.83,0.003,0.003
"Peter Lake","R",1988,180,1988-06-28,"Cryptophyta","Cryptomonas","caudata",NA,0.306,8.17,421.5,421.5,0.013,0.013
"Peter Lake","R",1988,180,1988-06-28,"Cyanophyta","Dactylococcopsis","smithii",NA,0.816,29.86,367.6,99.8,0.03,0.008
"Peter Lake","R",1988,180,1988-06-28,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",9.013,3.44,21.31,21.31,0.019,0.019
"Peter Lake","R",1988,180,1988-06-28,"Chlorophyta","Monomastix","astigmata",NA,0.218,5.69,30.3,30.3,0.001,0.001
"Peter Lake","R",1988,180,1988-06-28,"Chlorophyta",NA,NA,"non-motile chorococcales",0.663,6.86,169,169,0.011,0.011
"Peter Lake","R",1988,180,1988-06-28,"Cyanophyta","Nostoc",NA,"single trichomes",0.051,14,147,147,0.001,0.001
"Peter Lake","R",1988,180,1988-06-28,"Chlorophyta","Oocystis",NA,"sp. 1",0.561,13.68,408.7,232.6,0.023,0.013
"Peter Lake","R",1988,180,1988-06-28,"Chlorophyta","Oocystis",NA,"sp. 2",0.153,5.83,74.5,74.5,0.001,0.001
"Peter Lake","R",1988,180,1988-06-28,"Chlorophyta","Sphaerocystis","schroeteri",NA,0.255,15.75,2043.4,44.4,0.052,0.001
"Tuesday Lake","T",1988,180,1988-06-28,"Chrysophyta","Chrysosphaerella","longispina","(colonial)",0.203,77.93,10457,10457,0.212,0.212
"Tuesday Lake","T",1988,180,1988-06-28,"Chrysophyta","Chrysosphaerella",NA,NA,1.356,7,179.4,179.4,0.024,0.024
"Tuesday Lake","T",1988,180,1988-06-28,"Chlorophyta","Closteriopsis","longissima",NA,0.176,43.35,104.5,104.5,0.002,0.002
"Tuesday Lake","T",1988,180,1988-06-28,"Chlorophyta",NA,NA,"colonial chlorophyta",0.014,56,91847,716,0.125,0.001
"Tuesday Lake","T",1988,180,1988-06-28,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.841,14,266.83,266.83,0.022,0.022
"Tuesday Lake","T",1988,180,1988-06-28,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",1.058,21,783.89,783.89,0.083,0.083
"Tuesday Lake","T",1988,180,1988-06-28,"Cyanophyta","Dactylococcopsis","smithii",NA,0.054,83.12,7929.5,387.6,0.043,0.002
"Tuesday Lake","T",1988,180,1988-06-28,"Chrysophyta","Diceras",NA,NA,0.041,67.7,153,153,0.001,0.001
"Tuesday Lake","T",1988,180,1988-06-28,"Chlorophyta","Dictyosphaerium","pulchellum",NA,0.027,45.5,49265,1790,0.134,0.005
"Tuesday Lake","T",1988,180,1988-06-28,"Chrysophyta","Dinobryon","bavaricum",NA,0.068,102.2,5426,450.8,0.037,0.003
"Tuesday Lake","T",1988,180,1988-06-28,"Chrysophyta","Dinobryon","bavaricum",NA,0.027,44.62,1938,161,0.005,0
"Tuesday Lake","T",1988,180,1988-06-28,"Chrysophyta","Dinobryon","divergens",NA,0.041,112,2713.6,512,0.011,0.002
"Tuesday Lake","T",1988,180,1988-06-28,"Miscellaneous","Gonyostomum",NA,NA,0.041,64.17,2859,2859,0.012,0.012
"Tuesday Lake","T",1988,180,1988-06-28,"Pyrrhophyta","Gymnodinium",NA,NA,0.014,35,9966,9966,0.014,0.014
"Tuesday Lake","T",1988,180,1988-06-28,"Chrysophyta","Kephyrion",NA,"sp. 1",0.204,7,179.4,179.4,0.004,0.004
"Tuesday Lake","T",1988,180,1988-06-28,"Chrysophyta","Kephyrion",NA,"sp. 7",0.102,7,179.4,179.4,0.002,0.002
"Tuesday Lake","T",1988,180,1988-06-28,"Chrysophyta","Mallomonaas","acaroides",NA,0.244,77.78,2222,2222,0.054,0.054
"Tuesday Lake","T",1988,180,1988-06-28,"Chrysophyta","Mallomonaas","caudata",NA,0.014,63,5606,5606,0.008,0.008
"Tuesday Lake","T",1988,180,1988-06-28,"Chlorophyta",NA,NA,"Misc. chlorophyte",0.081,13.42,1264,1264,0.01,0.01
"Tuesday Lake","T",1988,180,1988-06-28,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",21.31,3.81,28.96,28.96,0.062,0.062
"Tuesday Lake","T",1988,180,1988-06-28,"Pyrrhophyta",NA,NA,"Misc. naked dinoflagellate",0.014,14,1435.1,1435.1,0.002,0.002
"Tuesday Lake","T",1988,180,1988-06-28,"Chlorophyta","Monomastix","astigmata",NA,1.937,7.09,30.3,30.3,0.006,0.006
"Tuesday Lake","T",1988,180,1988-06-28,"Chlorophyta",NA,NA,"non-motile chorococcales",0.122,10.5,606.1,606.1,0.007,0.007
"Tuesday Lake","T",1988,180,1988-06-28,"Chlorophyta","Oocystis",NA,"sp. 1",0.054,17.5,855.6,401,0.005,0.002
"Tuesday Lake","T",1988,180,1988-06-28,"Pyrrhophyta","Peridinium","umbonatum",NA,0.041,17.5,1580,1580,0.006,0.006
"Tuesday Lake","T",1988,180,1988-06-28,"Chlorophyta","Scenedesmus",NA,NA,0.014,42,1200,1200,0.002,0.002
"Tuesday Lake","T",1988,180,1988-06-28,"Chlorophyta","Teilingia","granulata",NA,0.108,14.88,897,897,0.01,0.01
"Tuesday Lake","T",1988,180,1988-06-28,"Euglenophyta","Trachelomonas",NA,NA,0.014,10.5,151.4,151.4,0,0
"Paul Lake","L",1988,186,1988-07-04,"Chlorophyta",NA,NA,"colonial chlorophyta",0.018,17.5,2802.9,2802.9,0.005,0.005
"Paul Lake","L",1988,186,1988-07-04,"Chlorophyta","Crucigenia","rectangularis",NA,0.506,27.33,999.85,999.85,0.051,0.051
"Paul Lake","L",1988,186,1988-07-04,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.723,14,266.83,266.83,0.019,0.019
