block,plot,species,treatment,contacts,year
C,C7,Carex flacca,dry,14,1996
C,C7,Carex panicea,dry,1,1996
C,C7,Festuca ovina,dry,29,1996
C,C7,Helianthemum nummularium,dry,13,1996
C,C7,Helictotrichon pratense,dry,6,1996
C,C7,Koeleria macrantha,dry,2,1996
C,C7,Lotus corniculatus,dry,8,1996
C,C7,Sanguisorba minor,dry,9,1996
C,C7,Scabiosa columbaria,dry,1,1996
C,C8,Agrostis,wet,17,1996
C,C8,Anthoxanthum odoratum,wet,2,1996
C,C8,Carex flacca,wet,18,1996
C,C8,Carex panicea,wet,12,1996
C,C8,Carex pulicaris,wet,15,1996
C,C8,Danthonia decumbens,wet,2,1996
C,C8,Festuca ovina,wet,15,1996
C,C8,Helianthemum nummularium,wet,2,1996
C,C8,Helictotrichon pratense,wet,9,1996
C,C8,Helictotrichon pubescens,wet,1,1996
C,C8,Hypericum pulchrum,wet,3,1996
C,C8,Lotus corniculatus,wet,8,1996
C,C8,Potentilla erecta,wet,16,1996
C,C8,Sanguisorba minor,wet,22,1996
C,C8,Scabiosa columbaria,wet,3,1996
C,C8,Viola riviniana,wet,8,1996
D,D1,Agrostis,warm,13,1996
D,D1,Campanula rotundifolia,warm,8,1996
D,D1,Carex caryophyllea,warm,6,1996
D,D1,Carex flacca,warm,9,1996
D,D1,Carex pulicaris,warm,10,1996
D,D1,Centaurea nigra,warm,4,1996
D,D1,Danthonia decumbens,warm,1,1996
D,D1,Festuca ovina,warm,69,1996
D,D1,Helianthemum nummularium,warm,2,1996
D,D1,Helictotrichon pratense,warm,8,1996
D,D1,Hypericum pulchrum,warm,1,1996
D,D1,Koeleria macrantha,warm,12,1996
D,D1,Linum catharticum,warm,7,1996
D,D1,Lotus corniculatus,warm,3,1996
D,D1,Potentilla erecta,warm,2,1996
D,D1,Sanguisorba minor,warm,20,1996
D,D1,Scabiosa columbaria,warm,14,1996
D,D1,Thymus polytrichus,warm,9,1996
D,D3,Agrostis,control,10,1996
D,D3,Anthoxanthum odoratum,control,1,1996
D,D3,Briza media,control,2,1996
D,D3,Carex caryophyllea,control,12,1996
D,D3,Carex flacca,control,14,1996
D,D3,Carex panicea,control,11,1996
D,D3,Danthonia decumbens,control,2,1996
D,D3,Festuca ovina,control,32,1996
D,D3,Helianthemum nummularium,control,3,1996
D,D3,Helictotrichon pratense,control,1,1996
D,D3,Koeleria macrantha,control,6,1996
D,D3,Linum catharticum,control,3,1996
D,D3,Pimpinella saxifraga,control,1,1996
D,D3,Plantago lanceolata,control,6,1996
D,D3,Prunella vulgaris,control,1,1996
D,D3,Sanguisorba minor,control,5,1996
D,D3,Scabiosa columbaria,control,10,1996
D,D3,Thymus polytrichus,control,2,1996
D,D4,Agrostis,dry,21,1996
D,D4,Briza media,dry,1,1996
D,D4,Campanula rotundifolia,dry,5,1996
D,D4,Carex caryophyllea,dry,1,1996
D,D4,Carex flacca,dry,6,1996
D,D4,Carex panicea,dry,7,1996
D,D4,Danthonia decumbens,dry,3,1996
D,D4,Festuca ovina,dry,48,1996
D,D4,Helictotrichon pratense,dry,7,1996
D,D4,Sanguisorba minor,dry,23,1996
D,D4,Scabiosa columbaria,dry,17,1996
D,D6,Agrostis,warm wet,5,1996
D,D6,Anthoxanthum odoratum,warm wet,1,1996
D,D6,Briza media,warm wet,1,1996
D,D6,Campanula rotundifolia,warm wet,5,1996
D,D6,Carex caryophyllea,warm wet,7,1996
D,D6,Carex flacca,warm wet,24,1996
D,D6,Carex panicea,warm wet,5,1996
D,D6,Centaurea nigra,warm wet,1,1996
D,D6,Danthonia decumbens,warm wet,5,1996
D,D6,Festuca ovina,warm wet,47,1996
D,D6,Helictotrichon pratense,warm wet,7,1996
D,D6,Hypericum pulchrum,warm wet,2,1996
D,D6,Koeleria macrantha,warm wet,20,1996
D,D6,Linum catharticum,warm wet,2,1996
D,D6,Potentilla erecta,warm wet,1,1996
D,D6,Sanguisorba minor,warm wet,6,1996
D,D6,Scabiosa columbaria,warm wet,2,1996
D,D6,Senecio jacobaea,warm wet,4,1996
D,D6,Thymus polytrichus,warm wet,4,1996
D,D7,Agrostis,wet,15,1996
D,D7,Anthoxanthum odoratum,wet,1,1996
D,D7,Briza media,wet,1,1996
D,D7,Campanula rotundifolia,wet,3,1996
D,D7,Carex caryophyllea,wet,1,1996
D,D7,Carex flacca,wet,10,1996
D,D7,Carex panicea,wet,38,1996
D,D7,Carex pulicaris,wet,28,1996
D,D7,Centaurea nigra,wet,6,1996
D,D7,Danthonia decumbens,wet,1,1996
D,D7,Festuca ovina,wet,45,1996
D,D7,Helictotrichon pratense,wet,1,1996
D,D7,Hypericum pulchrum,wet,1,1996
D,D7,Koeleria macrantha,wet,19,1996
D,D7,Linum catharticum,wet,9,1996
D,D7,Pimpinella saxifraga,wet,1,1996
D,D7,Polygala serpyllifolia,wet,2,1996
D,D7,Potentilla erecta,wet,10,1996
D,D7,Prunella vulgaris,wet,1,1996
D,D7,Sanguisorba minor,wet,13,1996
D,D7,Scabiosa columbaria,wet,18,1996
D,D9,Agrostis,warm dry,12,1996
D,D9,Campanula rotundifolia,warm dry,4,1996
D,D9,Carex flacca,warm dry,16,1996
D,D9,Carex hostiana,warm dry,2,1996
D,D9,Carex panicea,warm dry,9,1996
D,D9,Centaurea nigra,warm dry,1,1996
D,D9,Danthonia decumbens,warm dry,3,1996
D,D9,Festuca ovina,warm dry,58,1996
D,D9,Koeleria macrantha,warm dry,8,1996
D,D9,Lotus corniculatus,warm dry,2,1996
D,D9,Potentilla erecta,warm dry,4,1996
D,D9,Sanguisorba minor,warm dry,15,1996
D,D9,Scabiosa columbaria,warm dry,4,1996
E,E1,Agrostis,warm wet,9,1996
E,E1,Briza media,warm wet,1,1996
E,E1,Campanula rotundifolia,warm wet,2,1996
E,E1,Carex caryophyllea,warm wet,4,1996
E,E1,Carex flacca,warm wet,11,1996
E,E1,Carex panicea,warm wet,7,1996
E,E1,Carex pulicaris,warm wet,1,1996
E,E1,Danthonia decumbens,warm wet,1,1996
E,E1,Festuca ovina,warm wet,19,1996
E,E1,Helianthemum nummularium,warm wet,10,1996
E,E1,Hypericum pulchrum,warm wet,1,1996
E,E1,Koeleria macrantha,warm wet,1,1996
E,E1,Polygala vulgaris,warm wet,2,1996
E,E1,Potentilla erecta,warm wet,1,1996
E,E1,Sanguisorba minor,warm wet,4,1996
E,E1,Scabiosa columbaria,warm wet,4,1996
E,E1,Viola riviniana,warm wet,3,1996
E,E3,Agrostis,dry,25,1996
E,E3,Anthoxanthum odoratum,dry,3,1996
E,E3,Briza media,dry,4,1996
E,E3,Campanula rotundifolia,dry,4,1996
E,E3,Carex caryophyllea,dry,1,1996
E,E3,Carex flacca,dry,17,1996
E,E3,Carex panicea,dry,19,1996
E,E3,Danthonia decumbens,dry,5,1996
E,E3,Festuca ovina,dry,40,1996
E,E3,Helictotrichon pratense,dry,13,1996
E,E3,Koeleria macrantha,dry,9,1996
E,E3,Lotus corniculatus,dry,12,1996
E,E3,Potentilla erecta,dry,4,1996
E,E3,Sanguisorba minor,dry,6,1996
E,E3,Scabiosa columbaria,dry,2,1996
E,E3,Senecio jacobaea,dry,5,1996
E,E3,Succisa pratensis,dry,3,1996
E,E4,Agrostis,control,29,1996
E,E4,Anthoxanthum odoratum,control,4,1996
E,E4,Briza media,control,1,1996
E,E4,Campanula rotundifolia,control,2,1996
E,E4,Carex caryophyllea,control,3,1996
E,E4,Carex flacca,control,16,1996
E,E4,Carex panicea,control,18,1996
E,E4,Carex pulicaris,control,5,1996
E,E4,Danthonia decumbens,control,4,1996
E,E4,Festuca ovina,control,30,1996
E,E4,Helictotrichon pratense,control,2,1996
E,E4,Hypericum pulchrum,control,1,1996
E,E4,Koeleria macrantha,control,5,1996
E,E4,Lathyrus linifolius,control,7,1996
E,E4,Lotus corniculatus,control,1,1996
E,E4,Potentilla erecta,control,9,1996
E,E4,Sanguisorba minor,control,16,1996
E,E4,Scabiosa columbaria,control,10,1996
E,E4,Viola riviniana,control,4,1996
E,E6,Agrostis,wet,41,1996
E,E6,Anthoxanthum odoratum,wet,6,1996
E,E6,Campanula rotundifolia,wet,1,1996
E,E6,Carex caryophyllea,wet,4,1996
E,E6,Carex flacca,wet,30,1996
E,E6,Carex hostiana,wet,4,1996
E,E6,Carex panicea,wet,21,1996
E,E6,Carex pulicaris,wet,8,1996
E,E6,Centaurea nigra,wet,2,1996
E,E6,Cirsium palustre,wet,1,1996
E,E6,Danthonia decumbens,wet,11,1996
E,E6,Festuca ovina,wet,86,1996
E,E6,Helictotrichon pratense,wet,2,1996
E,E6,Hypericum pulchrum,wet,1,1996
E,E6,Koeleria macrantha,wet,21,1996
E,E6,Linum catharticum,wet,2,1996
E,E6,Plantago lanceolata,wet,4,1996
E,E6,Potentilla erecta,wet,17,1996
E,E6,Sanguisorba minor,wet,7,1996
E,E6,Scabiosa columbaria,wet,1,1996
E,E6,Succisa pratensis,wet,1,1996
E,E6,Thymus polytrichus,wet,1,1996
E,E7,Agrostis,warm,2,1996
E,E7,Anthoxanthum odoratum,warm,1,1996
E,E7,Campanula rotundifolia,warm,5,1996
E,E7,Carex caryophyllea,warm,2,1996
E,E7,Carex flacca,warm,8,1996
E,E7,Carex pulicaris,warm,10,1996
E,E7,Centaurea nigra,warm,3,1996
E,E7,Danthonia decumbens,warm,3,1996
E,E7,Festuca ovina,warm,81,1996
E,E7,Koeleria macrantha,warm,25,1996
E,E7,Lotus corniculatus,warm,2,1996
E,E7,Potentilla erecta,warm,3,1996
E,E7,Sanguisorba minor,warm,6,1996
E,E7,Scabiosa columbaria,warm,15,1996
E,E8,Agrostis,warm dry,1,1996
E,E8,Anthoxanthum odoratum,warm dry,1,1996
E,E8,Campanula rotundifolia,warm dry,3,1996
E,E8,Carex caryophyllea,warm dry,3,1996
E,E8,Carex flacca,warm dry,12,1996
E,E8,Carex panicea,warm dry,2,1996
E,E8,Carex pulicaris,warm dry,4,1996
E,E8,Danthonia decumbens,warm dry,1,1996
E,E8,Festuca ovina,warm dry,66,1996
E,E8,Hypericum pulchrum,warm dry,1,1996
E,E8,Koeleria macrantha,warm dry,7,1996
E,E8,Luzula campestris,warm dry,3,1996
E,E8,Potentilla erecta,warm dry,1,1996
E,E8,Sanguisorba minor,warm dry,5,1996
E,E8,Scabiosa columbaria,warm dry,2,1996
A,A1,Anthoxanthum odoratum,warm,2,1997
A,A1,Campanula rotundifolia,warm,4,1997
A,A1,Carex flacca,warm,3,1997
A,A1,Centaurea nigra,warm,9,1997
A,A1,Festuca ovina,warm,92,1997
A,A1,Helianthemum nummularium,warm,7,1997
A,A1,Helictotrichon pratense,warm,9,1997
A,A1,Koeleria macrantha,warm,29,1997
A,A1,Linum catharticum,warm,4,1997
A,A1,Plantago lanceolata,warm,2,1997
A,A1,Scabiosa columbaria,warm,8,1997
A,A1,Thymus polytrichus,warm,1,1997
A,A1,Viola riviniana,warm,1,1997
A,A3,Agrostis,control,21,1997
A,A3,Anthoxanthum odoratum,control,5,1997
A,A3,Campanula rotundifolia,control,6,1997
A,A3,Carex flacca,control,21,1997
A,A3,Carex panicea,control,18,1997
A,A3,Carex pulicaris,control,3,1997
A,A3,Centaurea nigra,control,1,1997
A,A3,Cirsium palustre,control,1,1997
A,A3,Danthonia decumbens,control,3,1997
A,A3,Festuca ovina,control,38,1997
A,A3,Helianthemum nummularium,control,3,1997
A,A3,Helictotrichon pratense,control,3,1997
A,A3,Koeleria macrantha,control,2,1997
A,A3,Linum catharticum,control,9,1997
A,A3,Lotus corniculatus,control,11,1997
A,A3,Plantago lanceolata,control,2,1997
A,A3,Potentilla erecta,control,1,1997
A,A3,Sanguisorba minor,control,6,1997
A,A3,Scabiosa columbaria,control,18,1997
A,A3,Viola riviniana,control,2,1997
A,A6,Agrostis,dry,8,1997
A,A6,Anthoxanthum odoratum,dry,1,1997
A,A6,Campanula rotundifolia,dry,3,1997
A,A6,Carex flacca,dry,17,1997
A,A6,Carex panicea,dry,9,1997
A,A6,Carex pulicaris,dry,2,1997
A,A6,Centaurea nigra,dry,3,1997
A,A6,Festuca ovina,dry,45,1997
A,A6,Helianthemum nummularium,dry,31,1997
A,A6,Helictotrichon pratense,dry,7,1997
A,A6,Linum catharticum,dry,6,1997
A,A6,Plantago lanceolata,dry,7,1997
A,A6,Potentilla erecta,dry,2,1997
A,A6,Sanguisorba minor,dry,8,1997
A,A6,Scabiosa columbaria,dry,42,1997
A,A6,Thymus polytrichus,dry,8,1997
A,A7,Agrostis,warm wet,59,1997
A,A7,Campanula rotundifolia,warm wet,4,1997
A,A7,Carex flacca,warm wet,28,1997
A,A7,Carex panicea,warm wet,3,1997
A,A7,Cirsium palustre,warm wet,3,1997
A,A7,Danthonia decumbens,warm wet,3,1997
A,A7,Festuca ovina,warm wet,44,1997
A,A7,Helianthemum nummularium,warm wet,1,1997
A,A7,Helictotrichon pratense,warm wet,14,1997
A,A7,Koeleria macrantha,warm wet,10,1997
A,A7,Lotus corniculatus,warm wet,2,1997
A,A7,Plantago lanceolata,warm wet,10,1997
A,A7,Sanguisorba minor,warm wet,1,1997
A,A7,Scabiosa columbaria,warm wet,1,1997
A,A7,Viola riviniana,warm wet,3,1997
A,A8,Agrostis,warm dry,35,1997
A,A8,Anthoxanthum odoratum,warm dry,3,1997
A,A8,Briza media,warm dry,1,1997
A,A8,Campanula rotundifolia,warm dry,9,1997
A,A8,Carex flacca,warm dry,12,1997
A,A8,Festuca ovina,warm dry,98,1997
A,A8,Galium sterneri,warm dry,4,1997
A,A8,Helianthemum nummularium,warm dry,5,1997
A,A8,Helictotrichon pratense,warm dry,2,1997
A,A8,Holcus lanatus,warm dry,2,1997
A,A8,Hypericum pulchrum,warm dry,3,1997
A,A8,Koeleria macrantha,warm dry,8,1997
A,A8,Leontodon hispidus,warm dry,5,1997
A,A8,Lotus corniculatus,warm dry,1,1997
A,A8,Plantago lanceolata,warm dry,3,1997
A,A8,Sanguisorba minor,warm dry,8,1997
A,A8,Scabiosa columbaria,warm dry,9,1997
A,A8,Thymus polytrichus,warm dry,6,1997
A,A9,Agrostis,wet,21,1997
A,A9,Anthoxanthum odoratum,wet,2,1997
A,A9,Briza media,wet,1,1997
A,A9,Campanula rotundifolia,wet,3,1997
A,A9,Carex caryophyllea,wet,4,1997
A,A9,Carex flacca,wet,41,1997
A,A9,Carex panicea,wet,15,1997
A,A9,Carex pulicaris,wet,12,1997
A,A9,Centaurea nigra,wet,1,1997
A,A9,Cirsium palustre,wet,1,1997
A,A9,Danthonia decumbens,wet,1,1997
A,A9,Festuca ovina,wet,52,1997
A,A9,Galium verum,wet,1,1997
A,A9,Helianthemum nummularium,wet,12,1997
A,A9,Helictotrichon pratense,wet,14,1997
A,A9,Hypericum pulchrum,wet,2,1997
A,A9,Koeleria macrantha,wet,12,1997
A,A9,Linum catharticum,wet,4,1997
A,A9,Lotus corniculatus,wet,15,1997
A,A9,Potentilla erecta,wet,9,1997
A,A9,Sanguisorba minor,wet,3,1997
A,A9,Scabiosa columbaria,wet,7,1997
A,A9,Thymus polytrichus,wet,4,1997
A,A9,Viola riviniana,wet,3,1997
B,B1,Agrostis,wet,43,1997
B,B1,Anthoxanthum odoratum,wet,2,1997
B,B1,Briza media,wet,1,1997
B,B1,Campanula rotundifolia,wet,6,1997
B,B1,Carex caryophyllea,wet,8,1997
B,B1,Carex flacca,wet,26,1997
B,B1,Carex panicea,wet,15,1997
B,B1,Carex pulicaris,wet,3,1997
B,B1,Danthonia decumbens,wet,12,1997
B,B1,Festuca ovina,wet,59,1997
B,B1,Helianthemum nummularium,wet,7,1997
B,B1,Helictotrichon pratense,wet,22,1997
B,B1,Hypericum pulchrum,wet,1,1997
B,B1,Koeleria macrantha,wet,4,1997
B,B1,Linum catharticum,wet,2,1997
B,B1,Lotus corniculatus,wet,26,1997
B,B1,Potentilla erecta,wet,2,1997
B,B1,Ranunculus acris,wet,1,1997
B,B1,Sanguisorba minor,wet,2,1997
B,B1,Scabiosa columbaria,wet,3,1997
B,B1,Thymus polytrichus,wet,6,1997
B,B1,Trifolium pratense,wet,3,1997
B,B1,Viola riviniana,wet,2,1997
B,B3,Agrostis,warm dry,43,1997
B,B3,Campanula rotundifolia,warm dry,20,1997
B,B3,Carex flacca,warm dry,5,1997
B,B3,Carex panicea,warm dry,1,1997
B,B3,Festuca ovina,warm dry,123,1997
B,B3,Koeleria macrantha,warm dry,7,1997
B,B3,Lotus corniculatus,warm dry,2,1997
B,B3,Plantago lanceolata,warm dry,9,1997
B,B3,Potentilla erecta,warm dry,2,1997
B,B3,Sanguisorba minor,warm dry,5,1997
B,B5,Agrostis,warm,13,1997
B,B5,Campanula rotundifolia,warm,1,1997
B,B5,Carex caryophyllea,warm,1,1997
B,B5,Carex flacca,warm,9,1997
B,B5,Carex panicea,warm,5,1997
B,B5,Cirsium palustre,warm,4,1997
B,B5,Danthonia decumbens,warm,2,1997
B,B5,Festuca ovina,warm,102,1997
B,B5,Galium saxatile,warm,6,1997
B,B5,Helictotrichon pratense,warm,6,1997
B,B5,Koeleria macrantha,warm,25,1997
B,B5,Lotus corniculatus,warm,1,1997
B,B5,Polygala serpyllifolia,warm,1,1997
B,B5,Sanguisorba minor,warm,2,1997
B,B5,Viola riviniana,warm,1,1997
B,B6,Agrostis,control,22,1997
B,B6,Anthoxanthum odoratum,control,2,1997
B,B6,Campanula rotundifolia,control,3,1997
B,B6,Carex flacca,control,17,1997
B,B6,Carex panicea,control,8,1997
B,B6,Danthonia decumbens,control,7,1997
B,B6,Festuca ovina,control,52,1997
B,B6,Galium saxatile,control,2,1997
B,B6,Helianthemum nummularium,control,10,1997
B,B6,Helictotrichon pratense,control,1,1997
B,B6,Hypericum pulchrum,control,4,1997
B,B6,Hypochaeris radicata,control,3,1997
B,B6,Koeleria macrantha,control,7,1997
B,B6,Linum catharticum,control,1,1997
B,B6,Lotus corniculatus,control,6,1997
B,B6,Nardus stricta,control,8,1997
B,B6,Plantago lanceolata,control,1,1997
B,B6,Potentilla erecta,control,8,1997
B,B6,Scabiosa columbaria,control,8,1997
B,B6,Viola riviniana,control,1,1997
B,B7,Agrostis,dry,22,1997
B,B7,Anthoxanthum odoratum,dry,2,1997
B,B7,Anthyllis vulneraria,dry,4,1997
B,B7,Briza media,dry,4,1997
B,B7,Campanula rotundifolia,dry,3,1997
B,B7,Carex flacca,dry,21,1997
B,B7,Carex panicea,dry,18,1997
B,B7,Danthonia decumbens,dry,10,1997
B,B7,Festuca ovina,dry,59,1997
B,B7,Helianthemum nummularium,dry,3,1997
B,B7,Helictotrichon pratense,dry,4,1997
B,B7,Koeleria macrantha,dry,2,1997
B,B7,Lotus corniculatus,dry,5,1997
B,B7,Plantago lanceolata,dry,1,1997
B,B7,Polygala serpyllifolia,dry,2,1997
B,B7,Sanguisorba minor,dry,9,1997
B,B7,Scabiosa columbaria,dry,3,1997
B,B7,Viola riviniana,dry,1,1997
B,B9,Agrostis,warm wet,21,1997
B,B9,Anthoxanthum odoratum,warm wet,2,1997
B,B9,Carex caryophyllea,warm wet,4,1997
B,B9,Carex flacca,warm wet,26,1997
B,B9,Carex panicea,warm wet,3,1997
B,B9,Carex pulicaris,warm wet,1,1997
B,B9,Dactylis glomerata,warm wet,1,1997
B,B9,Festuca ovina,warm wet,72,1997
B,B9,Helianthemum nummularium,warm wet,1,1997
B,B9,Helictotrichon pratense,warm wet,1,1997
B,B9,Hypericum pulchrum,warm wet,1,1997
B,B9,Koeleria macrantha,warm wet,38,1997
B,B9,Lotus corniculatus,warm wet,9,1997
B,B9,Plantago lanceolata,warm wet,15,1997
B,B9,Potentilla erecta,warm wet,5,1997
B,B9,Scabiosa columbaria,warm wet,9,1997
C,C2,Agrostis,warm dry,25,1997
C,C2,Anthoxanthum odoratum,warm dry,1,1997
C,C2,Campanula rotundifolia,warm dry,2,1997
C,C2,Carex flacca,warm dry,8,1997
C,C2,Carex panicea,warm dry,1,1997
C,C2,Dactylis glomerata,warm dry,10,1997
C,C2,Danthonia decumbens,warm dry,3,1997
C,C2,Festuca ovina,warm dry,80,1997
C,C2,Galium saxatile,warm dry,1,1997
C,C2,Galium sterneri,warm dry,1,1997
C,C2,Helictotrichon pratense,warm dry,3,1997
C,C2,Hypochaeris radicata,warm dry,2,1997
C,C2,Koeleria macrantha,warm dry,12,1997
C,C2,Viola riviniana,warm dry,2,1997
C,C3,Agrostis,control,36,1997
C,C3,Anthoxanthum odoratum,control,13,1997
C,C3,Campanula rotundifolia,control,1,1997
C,C3,Carex caryophyllea,control,8,1997
C,C3,Carex flacca,control,5,1997
C,C3,Carex panicea,control,12,1997
C,C3,Danthonia decumbens,control,2,1997
C,C3,Deschampsia cespitosa,control,2,1997
C,C3,Festuca ovina,control,40,1997
C,C3,Galium saxatile,control,2,1997
C,C3,Helictotrichon pratense,control,8,1997
C,C3,Lotus corniculatus,control,2,1997
C,C3,Plantago lanceolata,control,1,1997
C,C3,Polygala serpyllifolia,control,11,1997
C,C3,Potentilla erecta,control,12,1997
C,C3,Sanguisorba minor,control,12,1997
C,C3,Scabiosa columbaria,control,5,1997
C,C3,Vaccinium myrtillus,control,1,1997
C,C3,Viola riviniana,control,10,1997
C,C4,Agrostis,warm wet,16,1997
C,C4,Anthoxanthum odoratum,warm wet,3,1997
C,C4,Briza media,warm wet,1,1997
C,C4,Campanula rotundifolia,warm wet,2,1997
C,C4,Carex caryophyllea,warm wet,2,1997
C,C4,Carex flacca,warm wet,34,1997
C,C4,Carex panicea,warm wet,4,1997
C,C4,Carex pulicaris,warm wet,1,1997
C,C4,Danthonia decumbens,warm wet,7,1997
C,C4,Festuca ovina,warm wet,85,1997
C,C4,Galium saxatile,warm wet,2,1997
C,C4,Helictotrichon pratense,warm wet,9,1997
C,C4,Hypericum pulchrum,warm wet,1,1997
C,C4,Koeleria macrantha,warm wet,2,1997
C,C4,Lotus corniculatus,warm wet,7,1997
C,C4,Plantago lanceolata,warm wet,8,1997
C,C4,Potentilla erecta,warm wet,12,1997
C,C4,Sanguisorba minor,warm wet,3,1997
C,C4,Viola riviniana,warm wet,3,1997
C,C5,Agrostis,warm,17,1997
C,C5,Anthoxanthum odoratum,warm,1,1997
C,C5,Briza media,warm,3,1997
C,C5,Campanula rotundifolia,warm,1,1997
C,C5,Carex caryophyllea,warm,5,1997
C,C5,Carex flacca,warm,8,1997
C,C5,Carex panicea,warm,1,1997
C,C5,Danthonia decumbens,warm,1,1997
C,C5,Festuca ovina,warm,146,1997
C,C5,Koeleria macrantha,warm,9,1997
C,C5,Linum catharticum,warm,3,1997
C,C5,Lotus corniculatus,warm,2,1997
C,C5,Plantago lanceolata,warm,1,1997
C,C5,Polygala serpyllifolia,warm,1,1997
C,C5,Sanguisorba minor,warm,4,1997
C,C5,Scabiosa columbaria,warm,4,1997
C,C5,Thymus polytrichus,warm,15,1997
C,C7,Agrostis,dry,5,1997
C,C7,Anthoxanthum odoratum,dry,1,1997
C,C7,Briza media,dry,2,1997
C,C7,Carex flacca,dry,7,1997
C,C7,Carex panicea,dry,8,1997
C,C7,Centaurea nigra,dry,3,1997
C,C7,Festuca ovina,dry,75,1997
C,C7,Galium sterneri,dry,6,1997
C,C7,Helianthemum nummularium,dry,10,1997
C,C7,Helictotrichon pratense,dry,12,1997
C,C7,Koeleria macrantha,dry,21,1997
C,C7,Pimpinella saxifraga,dry,1,1997
C,C7,Plantago lanceolata,dry,1,1997
C,C7,Sanguisorba minor,dry,12,1997
C,C7,Scabiosa columbaria,dry,3,1997
C,C7,Viola riviniana,dry,1,1997
C,C8,Agrostis,wet,38,1997
C,C8,Anthoxanthum odoratum,wet,6,1997
C,C8,Campanula rotundifolia,wet,6,1997
C,C8,Carex flacca,wet,20,1997
C,C8,Carex hostiana,wet,1,1997
C,C8,Carex panicea,wet,5,1997
C,C8,Carex pulicaris,wet,5,1997
C,C8,Danthonia decumbens,wet,19,1997
C,C8,Festuca ovina,wet,50,1997
C,C8,Helianthemum nummularium,wet,6,1997
C,C8,Helictotrichon pratense,wet,2,1997
C,C8,Helictotrichon pubescens,wet,3,1997
C,C8,Hypericum pulchrum,wet,5,1997
C,C8,Koeleria macrantha,wet,3,1997
C,C8,Linum catharticum,wet,1,1997
C,C8,Lotus corniculatus,wet,5,1997
C,C8,Plantago lanceolata,wet,1,1997
C,C8,Polygala vulgaris,wet,5,1997
C,C8,Potentilla erecta,wet,21,1997
C,C8,Sanguisorba minor,wet,8,1997
C,C8,Scabiosa columbaria,wet,3,1997
C,C8,Thymus polytrichus,wet,6,1997
C,C8,Viola riviniana,wet,7,1997
D,D1,Agrostis,warm,16,1997
D,D1,Anthoxanthum odoratum,warm,2,1997
D,D1,Briza media,warm,1,1997
D,D1,Campanula rotundifolia,warm,3,1997
D,D1,Carex caryophyllea,warm,5,1997
D,D1,Carex flacca,warm,6,1997
D,D1,Carex panicea,warm,16,1997
D,D1,Centaurea nigra,warm,7,1997
D,D1,Danthonia decumbens,warm,1,1997
D,D1,Festuca ovina,warm,56,1997
D,D1,Helianthemum nummularium,warm,8,1997
D,D1,Helictotrichon pratense,warm,6,1997
D,D1,Koeleria macrantha,warm,11,1997
D,D1,Lotus corniculatus,warm,1,1997
D,D1,Sanguisorba minor,warm,9,1997
D,D1,Scabiosa columbaria,warm,7,1997
D,D1,Thymus polytrichus,warm,1,1997
D,D3,Agrostis,control,14,1997
D,D3,Briza media,control,2,1997
D,D3,Campanula rotundifolia,control,6,1997
D,D3,Carex caryophyllea,control,8,1997
D,D3,Carex flacca,control,19,1997
D,D3,Carex panicea,control,10,1997
D,D3,Carex pulicaris,control,2,1997
D,D3,Danthonia decumbens,control,2,1997
D,D3,Festuca ovina,control,42,1997
D,D3,Helianthemum nummularium,control,4,1997
D,D3,Helictotrichon pratense,control,4,1997
D,D3,Hypericum pulchrum,control,1,1997
D,D3,Koeleria macrantha,control,3,1997
D,D3,Linum catharticum,control,14,1997
D,D3,Lotus corniculatus,control,2,1997
D,D3,Plantago lanceolata,control,2,1997
D,D3,Potentilla erecta,control,2,1997
D,D3,Sanguisorba minor,control,25,1997
D,D3,Scabiosa columbaria,control,19,1997
D,D3,Thymus polytrichus,control,12,1997
D,D3,Viola riviniana,control,5,1997
D,D4,Agrostis,dry,9,1997
D,D4,Anthoxanthum odoratum,dry,8,1997
D,D4,Briza media,dry,1,1997
D,D4,Campanula rotundifolia,dry,1,1997
D,D4,Carex flacca,dry,6,1997
D,D4,Carex panicea,dry,6,1997
D,D4,Centaurea nigra,dry,7,1997
D,D4,Dactylis glomerata,dry,5,1997
D,D4,Danthonia decumbens,dry,4,1997
D,D4,Festuca ovina,dry,64,1997
D,D4,Festuca rubra,dry,1,1997
D,D4,Helianthemum nummularium,dry,2,1997
D,D4,Helictotrichon pratense,dry,2,1997
D,D4,Hypericum pulchrum,dry,1,1997
D,D4,Koeleria macrantha,dry,5,1997
D,D4,Linum catharticum,dry,10,1997
D,D4,Plantago lanceolata,dry,3,1997
D,D4,Potentilla erecta,dry,1,1997
D,D4,Sanguisorba minor,dry,39,1997
D,D4,Scabiosa columbaria,dry,14,1997
D,D4,Thymus polytrichus,dry,8,1997
D,D4,Viola riviniana,dry,2,1997
D,D6,Agrostis,warm wet,5,1997
D,D6,Anthoxanthum odoratum,warm wet,1,1997
D,D6,Briza media,warm wet,5,1997
D,D6,Campanula rotundifolia,warm wet,1,1997
D,D6,Carex caryophyllea,warm wet,7,1997
D,D6,Carex flacca,warm wet,18,1997
D,D6,Carex panicea,warm wet,10,1997
D,D6,Centaurea nigra,warm wet,4,1997
D,D6,Danthonia decumbens,warm wet,18,1997
D,D6,Festuca ovina,warm wet,29,1997
D,D6,Helictotrichon pratense,warm wet,6,1997
