site,block,species,value,dataset_id,year,treatment,treatment_type,design,timepoints,time_since_disturbance,realm,taxon,metric,unit,comment
site_-500,2,ORTHO,19,hershey_2016,1984,control_-500,eutrophication,AC,T9,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,2,ORTHO,46,hershey_2016,1984,control_-400,eutrophication,AC,T9,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,2,ORTHO,21,hershey_2016,1984,impact_140,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,2,ORTHO,47,hershey_2016,1984,impact_340,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,2,ORTHO,18,hershey_2016,1984,impact_590,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,2,ORTHO,11,hershey_2016,1984,impact_1000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,2,ORTHO,54,hershey_2016,1984,impact_2000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,2,ORTHO,7,hershey_2016,1984,impact_3000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,3,ORTHO,20,hershey_2016,1984,control_-500,eutrophication,AC,T9,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,3,ORTHO,21,hershey_2016,1984,control_-400,eutrophication,AC,T9,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,3,ORTHO,20,hershey_2016,1984,impact_140,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,3,ORTHO,21,hershey_2016,1984,impact_340,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,3,ORTHO,25,hershey_2016,1984,impact_590,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,3,ORTHO,42,hershey_2016,1984,impact_2000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,3,ORTHO,12,hershey_2016,1984,impact_3000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,5,ORTHO,29,hershey_2016,1984,impact_1000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,6,ORTHO,63,hershey_2016,1984,impact_1000,eutrophication,AI,T9,0,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,1,ORTHO,36,hershey_2016,1985,control_-1000,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,1,ORTHO,33,hershey_2016,1985,control_-500,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,1,ORTHO,38,hershey_2016,1985,control_-400,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,1,ORTHO,69,hershey_2016,1985,impact_140,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,1,ORTHO,22,hershey_2016,1985,impact_340,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,1,ORTHO,31,hershey_2016,1985,impact_590,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,1,ORTHO,10,hershey_2016,1985,impact_740,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,1,ORTHO,10,hershey_2016,1985,impact_1000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,1,ORTHO,7,hershey_2016,1985,impact_2000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,1,ORTHO,10,hershey_2016,1985,impact_3000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,2,ORTHO,18,hershey_2016,1985,control_-1000,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,2,ORTHO,22,hershey_2016,1985,control_-500,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,2,ORTHO,13,hershey_2016,1985,control_-400,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,2,ORTHO,36,hershey_2016,1985,impact_140,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,2,ORTHO,31,hershey_2016,1985,impact_340,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,2,ORTHO,18,hershey_2016,1985,impact_590,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,2,ORTHO,10,hershey_2016,1985,impact_740,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,2,ORTHO,6,hershey_2016,1985,impact_1000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,2,ORTHO,3,hershey_2016,1985,impact_2000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,2,ORTHO,8,hershey_2016,1985,impact_3000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,3,ORTHO,34,hershey_2016,1985,control_-1000,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,3,ORTHO,32,hershey_2016,1985,control_-500,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,3,ORTHO,28,hershey_2016,1985,control_-400,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,3,ORTHO,27,hershey_2016,1985,impact_140,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,3,ORTHO,31,hershey_2016,1985,impact_590,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,3,ORTHO,22,hershey_2016,1985,impact_740,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,3,ORTHO,12,hershey_2016,1985,impact_1000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,3,ORTHO,5,hershey_2016,1985,impact_2000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,3,ORTHO,12,hershey_2016,1985,impact_3000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,1,ORTHO,11,hershey_2016,1985,control_-1000,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,1,ORTHO,16,hershey_2016,1985,control_-500,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,1,ORTHO,26,hershey_2016,1985,control_-400,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,1,ORTHO,30,hershey_2016,1985,impact_140,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,1,ORTHO,25,hershey_2016,1985,impact_340,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,1,ORTHO,32,hershey_2016,1985,impact_590,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,1,ORTHO,12,hershey_2016,1985,impact_1000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,1,ORTHO,4,hershey_2016,1985,impact_2000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,1,ORTHO,7,hershey_2016,1985,impact_3000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3500,1,ORTHO,2,hershey_2016,1985,impact_3500,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,2,ORTHO,16,hershey_2016,1985,control_-1000,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,2,ORTHO,14,hershey_2016,1985,control_-500,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,2,ORTHO,14,hershey_2016,1985,control_-400,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,2,ORTHO,29,hershey_2016,1985,impact_140,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,2,ORTHO,21,hershey_2016,1985,impact_340,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,2,ORTHO,28,hershey_2016,1985,impact_590,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,2,ORTHO,8,hershey_2016,1985,impact_740,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,2,ORTHO,9,hershey_2016,1985,impact_1000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,2,ORTHO,7,hershey_2016,1985,impact_2000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,2,ORTHO,9,hershey_2016,1985,impact_3000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3500,2,ORTHO,4,hershey_2016,1985,impact_3500,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,3,ORTHO,13,hershey_2016,1985,control_-1000,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,3,ORTHO,11,hershey_2016,1985,control_-500,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,3,ORTHO,27,hershey_2016,1985,control_-400,eutrophication,AC,T1,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,3,ORTHO,31,hershey_2016,1985,impact_140,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,3,ORTHO,43,hershey_2016,1985,impact_340,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,3,ORTHO,17,hershey_2016,1985,impact_740,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,3,ORTHO,2,hershey_2016,1985,impact_1000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,3,ORTHO,5,hershey_2016,1985,impact_2000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,3,ORTHO,4,hershey_2016,1985,impact_3000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,1,ORTHO,23,hershey_2016,1986,control_-1000,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,1,ORTHO,44,hershey_2016,1986,control_-500,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,1,ORTHO,32,hershey_2016,1986,control_-400,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,1,ORTHO,8,hershey_2016,1986,impact_140,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,1,ORTHO,18,hershey_2016,1986,impact_340,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,1,ORTHO,31,hershey_2016,1986,impact_590,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,1,ORTHO,31,hershey_2016,1986,impact_740,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,1,ORTHO,37,hershey_2016,1986,impact_1000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,1,ORTHO,7,hershey_2016,1986,impact_2000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,1,ORTHO,42,hershey_2016,1986,impact_3000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,2,ORTHO,19,hershey_2016,1986,control_-1000,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,2,ORTHO,17,hershey_2016,1986,control_-500,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,2,ORTHO,18,hershey_2016,1986,control_-400,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,2,ORTHO,3,hershey_2016,1986,impact_140,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,2,ORTHO,39,hershey_2016,1986,impact_340,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,2,ORTHO,15,hershey_2016,1986,impact_590,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,2,ORTHO,49,hershey_2016,1986,impact_740,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,2,ORTHO,45,hershey_2016,1986,impact_1000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,2,ORTHO,24,hershey_2016,1986,impact_2000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,2,ORTHO,59,hershey_2016,1986,impact_3000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,3,ORTHO,7,hershey_2016,1986,control_-1000,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,3,ORTHO,16,hershey_2016,1986,control_-500,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,3,ORTHO,18,hershey_2016,1986,control_-400,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,3,ORTHO,35,hershey_2016,1986,impact_140,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,3,ORTHO,10,hershey_2016,1986,impact_340,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,3,ORTHO,48,hershey_2016,1986,impact_590,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,3,ORTHO,24,hershey_2016,1986,impact_740,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,3,ORTHO,46,hershey_2016,1986,impact_1000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,3,ORTHO,26,hershey_2016,1986,impact_2000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,3,ORTHO,51,hershey_2016,1986,impact_3000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,1,ORTHO,5,hershey_2016,1987,control_-500,eutrophication,AC,T3,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,1,ORTHO,4,hershey_2016,1987,control_-400,eutrophication,AC,T3,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,1,ORTHO,13,hershey_2016,1987,impact_140,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,1,ORTHO,13,hershey_2016,1987,impact_340,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,1,ORTHO,3,hershey_2016,1987,impact_590,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,1,ORTHO,11,hershey_2016,1987,impact_740,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,1,ORTHO,38,hershey_2016,1987,impact_1000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1400,1,ORTHO,60,hershey_2016,1987,impact_1400,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,1,ORTHO,15,hershey_2016,1987,impact_2000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,1,ORTHO,45,hershey_2016,1987,impact_3000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_4000,1,ORTHO,59,hershey_2016,1987,impact_4000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,2,ORTHO,1,hershey_2016,1987,control_-1000,eutrophication,AC,T3,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,2,ORTHO,10,hershey_2016,1987,control_-500,eutrophication,AC,T3,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,2,ORTHO,13,hershey_2016,1987,control_-400,eutrophication,AC,T3,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,2,ORTHO,40,hershey_2016,1987,impact_140,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,2,ORTHO,5,hershey_2016,1987,impact_340,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,2,ORTHO,13,hershey_2016,1987,impact_590,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_740,2,ORTHO,13,hershey_2016,1987,impact_740,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,2,ORTHO,14,hershey_2016,1987,impact_1000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1400,2,ORTHO,34,hershey_2016,1987,impact_1400,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,2,ORTHO,68,hershey_2016,1987,impact_2000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,2,ORTHO,22,hershey_2016,1987,impact_3000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_4000,2,ORTHO,48,hershey_2016,1987,impact_4000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,3,ORTHO,31,hershey_2016,1987,control_-1000,eutrophication,AC,T3,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,3,ORTHO,8,hershey_2016,1987,control_-500,eutrophication,AC,T3,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-400,3,ORTHO,9,hershey_2016,1987,control_-400,eutrophication,AC,T3,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,3,ORTHO,6,hershey_2016,1987,impact_140,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,3,ORTHO,8,hershey_2016,1987,impact_340,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,3,ORTHO,12,hershey_2016,1987,impact_590,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,3,ORTHO,6,hershey_2016,1987,impact_1000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1400,3,ORTHO,24,hershey_2016,1987,impact_1400,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_2000,3,ORTHO,40,hershey_2016,1987,impact_2000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,3,ORTHO,13,hershey_2016,1987,impact_3000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_4000,3,ORTHO,86,hershey_2016,1987,impact_4000,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,1,ORTHO,18,hershey_2016,1988,control_-1000,eutrophication,AC,T4,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-500,1,ORTHO,21,hershey_2016,1988,control_-500,eutrophication,AC,T4,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
